,date,open,high,low,close,adjclose,volume,ticker
0,1970-03-25,30.25,31.75,30.125,31.5,0.9484894275665283,87300,AEP
1,1970-03-26,31.5,31.5,30.75,31.0,0.9334337711334229,30700,AEP
2,1970-03-30,31.0,31.375,31.0,31.125,0.9371972680091858,36700,AEP
3,1970-03-31,31.125,31.375,30.75,31.125,0.9371972680091858,29900,AEP
4,1970-04-01,31.125,31.375,30.875,31.375,0.9447247982025146,19700,AEP
5,1970-04-02,31.375,31.375,31.0,31.0,0.9334337711334229,21100,AEP
6,1970-04-03,31.125,31.875,31.125,31.875,0.9597806930541992,17300,AEP
7,1970-04-06,31.875,32.0,31.625,31.875,0.9597806930541992,15000,AEP
8,1970-04-07,31.625,31.625,31.25,31.5,0.9484894275665283,13200,AEP
9,1970-04-08,31.5,31.75,31.25,31.375,0.9447247982025146,11400,AEP
10,1970-04-09,31.375,31.875,31.375,31.625,0.9522526264190674,12900,AEP
11,1970-04-10,31.625,31.75,31.25,31.5,0.9484894275665283,10600,AEP
12,1970-04-13,31.5,31.75,31.25,31.5,0.9484894275665283,15400,AEP
13,1970-04-14,31.5,31.5,31.125,31.375,0.9447247982025146,24500,AEP
14,1970-04-15,31.375,31.375,31.0,31.25,0.9409615993499756,17100,AEP
15,1970-04-16,31.25,31.375,30.5,30.875,0.9296695590019226,12000,AEP
16,1970-04-17,30.625,30.625,30.25,30.25,0.910850465297699,11000,AEP
17,1970-04-20,30.25,30.5,30.0,30.25,0.910850465297699,12300,AEP
18,1970-04-21,30.25,30.375,30.0,30.125,0.9070867896080017,14900,AEP
19,1970-04-22,30.125,30.25,29.75,30.25,0.910850465297699,20400,AEP
20,1970-04-23,29.75,29.75,28.875,29.125,0.8769755959510803,19200,AEP
21,1970-04-24,29.125,29.375,28.25,28.25,0.8506283760070801,22000,AEP
22,1970-04-27,28.25,28.25,27.5,27.625,0.8318094611167908,40500,AEP
23,1970-04-28,27.625,28.0,27.375,27.625,0.8318094611167908,21300,AEP
24,1970-04-29,27.625,28.0,27.5,28.0,0.8431011438369751,20300,AEP
25,1970-04-30,28.0,28.25,27.625,28.125,0.846865713596344,19000,AEP
26,1970-05-01,27.75,27.75,27.0,27.5,0.8280457854270935,53900,AEP
27,1970-05-04,27.5,27.5,26.625,26.75,0.8054630756378174,29500,AEP
28,1970-05-05,26.5,26.5,26.125,26.375,0.8065333366394043,22500,AEP
29,1970-05-06,26.375,27.0,26.125,26.375,0.8065333366394043,33200,AEP
30,1970-05-07,26.375,26.375,25.75,26.375,0.8065333366394043,24200,AEP
31,1970-05-08,26.375,26.375,25.75,26.125,0.7988880276679993,19000,AEP
32,1970-05-11,26.0,26.0,25.25,25.5,0.7797765731811523,21300,AEP
33,1970-05-12,25.5,25.875,25.5,25.875,0.7912432551383972,18800,AEP
34,1970-05-13,25.75,25.75,25.0,25.25,0.7721312046051025,20500,AEP
35,1970-05-14,25.25,25.375,24.5,25.25,0.7721312046051025,32000,AEP
36,1970-05-15,25.25,25.375,24.875,25.375,0.7759538292884827,26700,AEP
37,1970-05-18,25.375,25.875,25.125,25.125,0.7683091163635254,36700,AEP
38,1970-05-19,25.125,25.375,24.625,24.625,0.753018856048584,21300,AEP
39,1970-05-20,24.625,24.875,24.125,24.125,0.7377292513847351,27700,AEP
40,1970-05-21,24.125,24.25,23.625,24.25,0.7415515184402466,25900,AEP
41,1970-05-22,24.25,24.875,24.0,24.375,0.7453746199607849,38200,AEP
42,1970-05-25,24.375,24.875,24.125,24.625,0.753018856048584,16800,AEP
43,1970-05-26,24.625,24.875,24.25,24.375,0.7453746199607849,24400,AEP
44,1970-05-27,24.5,25.5,24.5,25.125,0.7683091163635254,35300,AEP
45,1970-05-28,25.125,26.375,25.0,26.375,0.8065333366394043,36900,AEP
46,1970-05-29,26.375,26.75,26.25,26.5,0.8103559017181396,44300,AEP
47,1970-06-01,26.5,26.625,26.375,26.625,0.8141785860061646,21300,AEP
