,date,open,high,low,close,adjclose,volume,ticker
0,1994-02-22,7.375,7.375,7.25,7.25,4.4962239265441895,20800,ALB
1,1994-02-23,7.125,7.125,6.75,6.9375,4.302421569824219,31600,ALB
2,1994-02-24,6.9375,6.9375,6.8125,6.8125,4.22490119934082,32000,ALB
3,1994-02-25,6.6875,6.6875,6.25,6.4375,3.992335081100464,49800,ALB
4,1994-02-28,6.5,6.75,6.4375,6.625,4.10861873626709,170400,ALB
5,1994-03-01,6.625,6.625,6.5,6.5625,4.069859504699707,41600,ALB
6,1994-03-02,6.4375,6.5625,6.4375,6.5625,4.069859504699707,67000,ALB
7,1994-03-03,6.625,6.625,6.5,6.5,4.031096935272217,27800,ALB
8,1994-03-04,6.5,6.75,6.4375,6.75,4.186140060424805,358200,ALB
9,1994-03-07,6.4375,6.8125,6.4375,6.75,4.186140060424805,690800,ALB
10,1994-03-08,6.75,6.8125,6.75,6.8125,4.22490119934082,515200,ALB
11,1994-03-09,6.8125,6.875,6.8125,6.875,4.263660430908203,540400,ALB
12,1994-03-10,6.875,6.875,6.8125,6.875,4.263660430908203,1832200,ALB
13,1994-03-11,6.9375,7.1875,6.9375,7.1875,4.457465648651123,1895400,ALB
14,1994-03-14,7.1875,7.625,7.1875,7.5625,4.69002628326416,1413800,ALB
15,1994-03-15,7.5625,7.6875,7.4375,7.4375,4.612508773803711,1665200,ALB
16,1994-03-16,7.4375,7.4375,7.3125,7.4375,4.612508773803711,717000,ALB
17,1994-03-17,7.4375,7.6875,7.4375,7.5625,4.705845355987549,971200,ALB
18,1994-03-18,7.625,7.6875,7.625,7.625,4.744736671447754,1178000,ALB
19,1994-03-21,7.625,7.6875,7.625,7.6875,4.78363037109375,659400,ALB
20,1994-03-22,7.6875,7.875,7.6875,7.8125,4.86140775680542,374000,ALB
21,1994-03-23,7.8125,7.9375,7.75,7.875,4.900300979614258,430200,ALB
22,1994-03-24,7.8125,7.875,7.75,7.75,4.822518825531006,747000,ALB
23,1994-03-25,7.8125,7.8125,7.625,7.6875,4.78363037109375,370000,ALB
24,1994-03-28,7.6875,7.6875,7.625,7.625,4.744736671447754,1116200,ALB
25,1994-03-29,7.625,7.6875,7.5,7.5,4.666955471038818,595800,ALB
26,1994-03-30,7.5,7.5,7.3125,7.375,4.589173316955566,653000,ALB
27,1994-03-31,7.375,7.4375,7.25,7.375,4.589173316955566,448400,ALB
28,1994-04-04,7.125,7.375,7.125,7.375,4.589173316955566,386600,ALB
29,1994-04-05,7.3125,7.6875,7.3125,7.625,4.744736671447754,361600,ALB
30,1994-04-06,7.625,7.6875,7.375,7.375,4.589173316955566,551400,ALB
31,1994-04-07,7.5,7.5,7.375,7.4375,4.628064155578613,338400,ALB
32,1994-04-08,7.3125,7.5,7.3125,7.5,4.666955471038818,166000,ALB
33,1994-04-11,7.5,7.625,7.25,7.25,4.511387825012207,424800,ALB
34,1994-04-12,7.125,7.25,7.125,7.125,4.433608531951904,602800,ALB
35,1994-04-13,7.125,7.3125,7.0,7.0,4.35582160949707,504600,ALB
36,1994-04-14,7.0625,7.0625,6.9375,6.9375,4.316932201385498,378200,ALB
37,1994-04-15,6.875,7.0625,6.875,6.875,4.278042316436768,197600,ALB
38,1994-04-18,7.0,7.25,7.0,7.25,4.511387825012207,184800,ALB
39,1994-04-19,7.1875,7.3125,7.1875,7.25,4.511387825012207,122200,ALB
40,1994-04-20,7.3125,7.3125,7.125,7.125,4.433608531951904,201400,ALB
41,1994-04-21,7.125,7.3125,6.875,6.875,4.278042316436768,858200,ALB
42,1994-04-22,7.0,7.25,7.0,7.25,4.511387825012207,411400,ALB
43,1994-04-25,7.1875,7.625,7.1875,7.625,4.744736671447754,330600,ALB
44,1994-04-26,7.5625,7.5625,7.25,7.375,4.589173316955566,313400,ALB
45,1994-04-28,7.3125,7.3125,7.125,7.3125,4.550281047821045,161600,ALB
46,1994-04-29,7.25,7.3125,7.1875,7.25,4.511387825012207,344600,ALB
47,1994-05-02,7.1875,7.3125,7.0625,7.1875,4.472498893737793,135800,ALB
48,1994-05-03,7.25,7.4375,7.125,7.1875,4.472498893737793,375200,ALB
49,1994-05-04,7.125,7.375,7.125,7.3125,4.550281047821045,491800,ALB
50,1994-05-05,7.3125,7.3125,7.1875,7.25,4.511387825012207,152800,ALB
51,1994-05-06,7.25,7.3125,7.25,7.25,4.511387825012207,272800,ALB
52,1994-05-09,7.25,7.3125,7.25,7.25,4.511387825012207,161600,ALB
53,1994-05-10,7.25,7.5,7.25,7.5,4.666955471038818,308200,ALB
54,1994-05-11,7.5,7.6875,7.5,7.5625,4.705845355987549,388600,ALB
