,date,open,high,low,close,adjclose,volume,ticker
0,1987-04-06,0.0,19.0,18.375,18.625,6.629326820373535,157000.0,BKR
1,1987-04-07,18.625,18.625,18.0,18.0,6.406867504119873,295600.0,BKR
2,1987-04-08,18.25,18.875,18.25,18.75,6.6738200187683105,479700.0,BKR
3,1987-04-09,18.75,18.75,17.875,17.875,6.36237907409668,850800.0,BKR
4,1987-04-10,17.875,18.25,17.875,18.125,6.45136022567749,224000.0,BKR
5,1987-04-13,18.125,18.125,17.5,17.625,6.27338981628418,304700.0,BKR
6,1987-04-14,17.5,17.5,15.875,16.125,5.739487648010254,168300.0,BKR
7,1987-04-15,16.375,17.5,16.375,17.5,6.22889518737793,414500.0,BKR
8,1987-04-16,17.75,18.125,17.75,18.0,6.406867504119873,229400.0,BKR
9,1987-04-20,18.0,18.0,17.75,17.75,6.317884922027588,135800.0,BKR
10,1987-04-21,17.75,17.875,17.5,17.625,6.27338981628418,282200.0,BKR
11,1987-04-22,17.625,17.75,17.0,17.25,6.139915943145752,284900.0,BKR
12,1987-04-23,17.375,17.625,17.25,17.375,6.1844072341918945,219200.0,BKR
13,1987-04-24,17.25,17.5,16.875,16.875,6.006441116333008,139700.0,BKR
14,1987-04-27,16.625,16.75,16.0,16.5,5.872961521148682,466500.0,BKR
15,1987-04-28,17.125,17.5,16.5,17.125,6.138204097747803,272200.0,BKR
16,1987-04-29,17.375,17.5,17.25,17.25,6.183008670806885,374500.0,BKR
17,1987-04-30,17.25,18.0,17.25,18.0,6.451834201812744,845800.0,BKR
18,1987-05-01,18.125,18.375,17.875,18.0,6.451834201812744,713800.0,BKR
19,1987-05-04,18.0,18.625,18.0,18.5,6.631054401397705,212200.0,BKR
20,1987-05-05,18.5,19.375,18.0,19.375,6.944684982299805,1040000.0,BKR
21,1987-05-06,19.375,20.75,19.25,20.75,7.437536239624023,1030000.0,BKR
22,1987-05-07,22.0,22.375,21.875,22.25,7.975184917449951,1470000.0,BKR
23,1987-05-08,22.0,22.125,21.625,21.875,7.840771675109863,365400.0,BKR
24,1987-05-11,22.0,23.375,21.875,22.5,8.064791679382324,815000.0,BKR
25,1987-05-12,22.625,22.625,22.25,22.5,8.064791679382324,422900.0,BKR
26,1987-05-13,22.5,22.625,21.625,21.875,7.840771675109863,231300.0,BKR
27,1987-05-14,21.75,22.0,21.5,21.75,7.79596471786499,341500.0,BKR
28,1987-05-15,21.5,22.0,21.125,21.375,7.661555767059326,408700.0,BKR
29,1987-05-18,21.0,21.125,20.5,21.0,7.527143478393555,386200.0,BKR
30,1987-05-19,21.0,21.0,20.625,20.75,7.437536239624023,270200.0,BKR
31,1987-05-20,20.375,20.625,20.125,20.125,7.213509559631348,308100.0,BKR
32,1987-05-21,20.25,20.5,19.75,20.375,7.303114891052246,258900.0,BKR
33,1987-05-22,20.375,20.75,20.25,20.75,7.437536239624023,255700.0,BKR
34,1987-05-26,21.0,22.0,20.625,21.75,7.79596471786499,400600.0,BKR
35,1987-05-27,21.75,21.875,21.5,21.625,7.751160621643066,211500.0,BKR
36,1987-05-28,21.5,21.625,20.5,21.5,7.706361293792725,165000.0,BKR
37,1987-05-29,21.625,21.875,21.25,21.875,7.840771675109863,288100.0,BKR
38,1987-06-01,21.875,22.125,21.75,21.875,7.840771675109863,363100.0,BKR
39,1987-06-02,21.875,21.875,21.5,21.625,7.751160621643066,215500.0,BKR
40,1987-06-03,21.5,21.875,21.5,21.75,7.79596471786499,442000.0,BKR
41,1987-06-04,21.75,22.0,21.75,22.0,7.885572910308838,576100.0,BKR
42,1987-06-05,22.0,22.125,21.75,21.875,7.840771675109863,294100.0,BKR
43,1987-06-08,21.875,22.25,21.875,22.25,7.975184917449951,310200.0,BKR
44,1987-06-09,22.25,22.375,21.875,22.0,7.885572910308838,853800.0,BKR
45,1987-06-10,22.125,22.75,22.0,22.0,7.885572910308838,340700.0,BKR
46,1987-06-11,22.0,22.125,21.75,21.75,7.79596471786499,89100.0,BKR
47,1987-06-12,21.5,21.75,21.125,21.25,7.616749286651611,378700.0,BKR
48,1987-06-15,21.375,22.0,21.25,21.75,7.79596471786499,269300.0,BKR
49,1987-06-16,21.75,21.875,21.625,21.875,7.840771675109863,160300.0,BKR
50,1987-06-17,21.875,22.0,21.75,21.75,7.79596471786499,276100.0,BKR
51,1987-06-18,21.625,21.625,21.25,21.375,7.661555767059326,59300.0,BKR
52,1987-06-19,21.625,21.875,21.375,21.875,7.840771675109863,284500.0,BKR
53,1987-06-22,22.125,22.25,21.75,22.0,7.885572910308838,544800.0,BKR
54,1987-06-23,21.875,22.0,21.625,22.0,7.885572910308838,442000.0,BKR
55,1987-06-24,21.75,21.875,21.5,21.75,7.79596471786499,241800.0,BKR
56,1987-06-25,21.75,22.0,21.625,21.875,7.840771675109863,179500.0,BKR
57,1987-06-26,21.875,22.0,21.5,21.5,7.706361293792725,389200.0,BKR
58,1987-06-29,21.875,22.5,21.875,22.375,8.019988059997559,1020000.0,BKR
59,1987-06-30,22.5,23.375,22.5,22.75,8.154400825500488,693400.0,BKR
60,1987-07-01,23.0,24.25,23.0,24.125,8.647252082824707,560600.0,BKR
61,1987-07-02,24.375,24.875,24.25,24.625,8.826476097106934,635100.0,BKR
62,1987-07-06,24.875,25.25,24.75,25.25,9.050490379333496,786500.0,BKR
63,1987-07-07,25.875,26.375,25.25,26.25,9.408926963806152,1090000.0,BKR
64,1987-07-08,26.0,26.5,25.375,25.75,9.229711532592773,1010000.0,BKR
65,1987-07-09,26.0,26.75,25.875,26.75,9.58814525604248,992200.0,BKR
66,1987-07-10,26.625,26.625,26.0,26.25,9.408926963806152,466900.0,BKR
