,date,open,high,low,close,adjclose,volume,ticker
0,1993-08-13,3.171875,3.1875,3.125,3.125,2.194476366043091,14796800,BWA
1,1993-08-16,3.140625,3.140625,3.03125,3.09375,2.1725289821624756,3422400,BWA
2,1993-08-17,3.0625,3.09375,3.046875,3.046875,2.1396124362945557,732800,BWA
3,1993-08-18,3.046875,3.125,3.046875,3.09375,2.1725289821624756,1084800,BWA
4,1993-08-19,3.078125,3.15625,3.0625,3.15625,2.2164182662963867,832800,BWA
5,1993-08-20,3.15625,3.203125,3.140625,3.1875,2.2383642196655273,464000,BWA
6,1993-08-23,3.171875,3.171875,3.140625,3.140625,2.20544695854187,146400,BWA
7,1993-08-24,3.15625,3.15625,3.125,3.125,2.194476366043091,354400,BWA
8,1993-08-25,3.125,3.15625,3.125,3.15625,2.2164182662963867,214400,BWA
9,1993-08-26,3.15625,3.1875,3.15625,3.15625,2.2164182662963867,287200,BWA
10,1993-08-27,3.15625,3.21875,3.15625,3.1875,2.2383642196655273,330400,BWA
11,1993-08-30,3.203125,3.21875,3.171875,3.1875,2.2383642196655273,120800,BWA
12,1993-08-31,3.203125,3.203125,3.171875,3.203125,2.2493364810943604,233600,BWA
13,1993-09-01,3.171875,3.1875,3.171875,3.1875,2.2383642196655273,196800,BWA
14,1993-09-02,3.1875,3.1875,3.125,3.125,2.194476366043091,132000,BWA
15,1993-09-03,3.125,3.15625,3.0625,3.0625,2.1505849361419678,51200,BWA
16,1993-09-07,3.09375,3.15625,3.09375,3.09375,2.1725289821624756,984800,BWA
17,1993-09-08,3.125,3.125,2.953125,3.0,2.1066958904266357,208800,BWA
18,1993-09-09,2.96875,3.0,2.96875,2.984375,2.095723867416382,277600,BWA
19,1993-09-10,3.0,3.0,2.859375,2.875,2.018916130065918,152000,BWA
20,1993-09-13,2.875,2.9375,2.875,2.875,2.018916130065918,320800,BWA
21,1993-09-14,2.90625,2.90625,2.71875,2.71875,1.9091920852661133,1212000,BWA
22,1993-09-15,2.65625,2.875,2.5625,2.875,2.018916130065918,1803200,BWA
23,1993-09-16,2.875,2.875,2.78125,2.859375,2.007943630218506,248000,BWA
24,1993-09-17,2.828125,2.96875,2.828125,2.953125,2.0737781524658203,784800,BWA
25,1993-09-20,3.0,3.03125,2.90625,2.90625,2.040860891342163,484800,BWA
26,1993-09-21,2.875,2.875,2.78125,2.828125,1.9859992265701294,240000,BWA
27,1993-09-22,2.828125,2.828125,2.765625,2.796875,1.9640554189682007,152000,BWA
28,1993-09-23,2.78125,2.78125,2.71875,2.734375,1.9201650619506836,946400,BWA
29,1993-09-24,2.734375,2.828125,2.734375,2.8125,1.9750285148620605,480800,BWA
30,1993-09-27,2.8125,2.90625,2.8125,2.890625,2.02988862991333,86400,BWA
31,1993-09-28,2.890625,2.90625,2.890625,2.890625,2.02988862991333,98400,BWA
32,1993-09-29,3.125,3.125,3.078125,3.125,2.194476366043091,788800,BWA
33,1993-09-30,3.125,3.3125,3.125,3.296875,2.3151700496673584,1268000,BWA
34,1993-10-01,3.296875,3.296875,3.1875,3.25,2.2822537422180176,548800,BWA
35,1993-10-04,3.21875,3.25,3.203125,3.203125,2.2493364810943604,387200,BWA
36,1993-10-05,3.140625,3.140625,3.03125,3.03125,2.1286401748657227,482400,BWA
37,1993-10-06,3.03125,3.0625,3.03125,3.0625,2.1505849361419678,42400,BWA
38,1993-10-07,3.046875,3.078125,3.046875,3.078125,2.161557674407959,8000,BWA
39,1993-10-08,3.078125,3.125,3.078125,3.125,2.194476366043091,905600,BWA
40,1993-10-11,3.109375,3.28125,3.109375,3.28125,2.304198980331421,713600,BWA
41,1993-10-12,3.265625,3.296875,3.25,3.28125,2.304198980331421,176800,BWA
42,1993-10-13,3.296875,3.296875,3.25,3.25,2.2822537422180176,346400,BWA
43,1993-10-14,3.28125,3.328125,3.28125,3.296875,2.3151700496673584,383200,BWA
44,1993-10-15,3.3125,3.328125,3.296875,3.296875,2.3151700496673584,144000,BWA
45,1993-10-18,3.296875,3.34375,3.296875,3.296875,2.3151700496673584,160000,BWA
46,1993-10-19,3.3125,3.3125,3.28125,3.296875,2.3151700496673584,396800,BWA
47,1993-10-20,3.296875,3.3125,3.296875,3.3125,2.3261427879333496,304000,BWA
48,1993-10-21,3.3125,3.328125,3.3125,3.3125,2.3261427879333496,90400,BWA
49,1993-10-22,3.3125,3.328125,3.3125,3.3125,2.3261427879333496,80000,BWA
50,1993-10-25,3.3125,3.328125,3.3125,3.3125,2.3261427879333496,87200,BWA
51,1993-10-26,3.328125,3.328125,3.25,3.25,2.2822537422180176,502400,BWA
52,1993-10-27,3.25,3.25,3.203125,3.203125,2.2493364810943604,40000,BWA
53,1993-10-28,3.203125,3.25,3.203125,3.25,2.2822537422180176,90400,BWA
54,1993-10-29,3.25,3.34375,3.234375,3.328125,2.3371152877807617,408800,BWA
55,1993-11-01,3.3125,3.3125,3.296875,3.3125,2.3261427879333496,64000,BWA
56,1993-11-02,3.3125,3.3125,3.265625,3.3125,2.3261427879333496,287200,BWA
57,1993-11-03,3.296875,3.296875,3.265625,3.296875,2.3151700496673584,40800,BWA
58,1993-11-04,3.265625,3.28125,3.25,3.25,2.2822537422180176,53600,BWA
59,1993-11-05,3.234375,3.234375,3.1875,3.1875,2.2383642196655273,114400,BWA
60,1993-11-08,3.21875,3.21875,3.1875,3.21875,2.2603073120117188,150400,BWA
61,1993-11-09,3.1875,3.234375,3.1875,3.203125,2.2493364810943604,77600,BWA
62,1993-11-10,3.1875,3.1875,3.140625,3.171875,2.2273926734924316,95200,BWA
63,1993-11-11,3.140625,3.171875,3.140625,3.15625,2.2164182662963867,68800,BWA
64,1993-11-12,3.15625,3.203125,3.140625,3.140625,2.20544695854187,271200,BWA
65,1993-11-15,3.140625,3.140625,3.140625,3.140625,2.20544695854187,11200,BWA
66,1993-11-16,3.125,3.171875,3.125,3.15625,2.2164182662963867,127200,BWA
67,1993-11-17,3.125,3.125,2.984375,2.984375,2.095723867416382,299200,BWA
68,1993-11-18,2.96875,2.984375,2.96875,2.96875,2.084750175476074,20000,BWA
69,1993-11-19,2.96875,2.96875,2.921875,2.921875,2.0518343448638916,27200,BWA
70,1993-11-22,2.90625,2.921875,2.90625,2.921875,2.0518343448638916,11200,BWA
71,1993-11-23,2.921875,2.953125,2.90625,2.9375,2.062805652618408,39200,BWA
72,1993-11-24,2.9375,3.0,2.9375,3.0,2.1066958904266357,162400,BWA
73,1993-11-26,3.03125,3.109375,3.03125,3.109375,2.1835012435913086,76800,BWA
74,1993-11-29,3.125,3.140625,3.09375,3.09375,2.1725289821624756,27200,BWA
75,1993-11-30,3.09375,3.09375,3.078125,3.078125,2.161557674407959,60800,BWA
76,1993-12-01,3.09375,3.09375,3.046875,3.046875,2.1396124362945557,140800,BWA
77,1993-12-02,3.015625,3.015625,3.0,3.015625,2.1176676750183105,100800,BWA
78,1993-12-03,3.0,3.0,3.0,3.0,2.1066958904266357,28000,BWA
79,1993-12-06,3.0,3.046875,3.0,3.03125,2.1286401748657227,40800,BWA
80,1993-12-07,3.015625,3.015625,2.90625,2.921875,2.0518343448638916,240000,BWA
81,1993-12-08,2.890625,2.9375,2.890625,2.890625,2.02988862991333,128800,BWA
82,1993-12-09,2.875,2.890625,2.84375,2.875,2.018916130065918,180800,BWA
83,1993-12-10,2.875,2.890625,2.859375,2.890625,2.02988862991333,204800,BWA
84,1993-12-13,2.875,2.9375,2.875,2.9375,2.062805652618408,121600,BWA
85,1993-12-14,2.96875,3.046875,2.96875,3.0,2.1066958904266357,304800,BWA
86,1993-12-15,3.0,3.109375,3.0,3.109375,2.1835012435913086,964800,BWA
87,1993-12-16,3.125,3.140625,3.09375,3.09375,2.1725289821624756,52800,BWA
88,1993-12-17,3.09375,3.109375,3.078125,3.109375,2.1835012435913086,27200,BWA
89,1993-12-20,3.109375,3.125,3.09375,3.09375,2.1725289821624756,37600,BWA
90,1993-12-21,3.09375,3.125,3.0625,3.125,2.194476366043091,421600,BWA
91,1993-12-22,3.140625,3.1875,3.140625,3.1875,2.2383642196655273,520800,BWA
92,1993-12-23,3.1875,3.1875,3.171875,3.1875,2.2383642196655273,31200,BWA
93,1993-12-27,3.1875,3.3125,3.1875,3.3125,2.3261427879333496,207200,BWA
94,1993-12-28,3.34375,3.375,3.34375,3.34375,2.3480875492095947,170400,BWA
95,1993-12-29,3.34375,3.421875,3.34375,3.421875,2.4029500484466553,220000,BWA
96,1993-12-30,3.40625,3.40625,3.359375,3.359375,2.3590593338012695,404000,BWA
97,1993-12-31,3.375,3.5,3.375,3.5,2.457810878753662,269600,BWA
98,1994-01-03,3.46875,3.46875,3.375,3.375,2.370032787322998,879200,BWA
99,1994-01-04,3.359375,3.40625,3.359375,3.375,2.370032787322998,27200,BWA
100,1994-01-05,3.375,3.46875,3.34375,3.4375,2.413921356201172,119200,BWA
101,1994-01-06,3.4375,3.46875,3.390625,3.4375,2.413921356201172,127200,BWA
102,1994-01-07,3.40625,3.40625,3.359375,3.375,2.370032787322998,78400,BWA
103,1994-01-10,3.375,3.375,3.34375,3.359375,2.3590593338012695,404800,BWA
104,1994-01-11,3.34375,3.359375,3.34375,3.34375,2.3480875492095947,344800,BWA
105,1994-01-12,3.3125,3.375,3.296875,3.375,2.370032787322998,329600,BWA
106,1994-01-13,3.375,3.375,3.328125,3.359375,2.3590593338012695,64000,BWA
107,1994-01-14,3.375,3.40625,3.359375,3.40625,2.3919780254364014,170400,BWA
108,1994-01-17,3.40625,3.4375,3.390625,3.4375,2.413921356201172,87200,BWA
109,1994-01-18,3.46875,3.5625,3.46875,3.5625,2.5017004013061523,196800,BWA
110,1994-01-19,3.53125,3.59375,3.53125,3.59375,2.523646354675293,132800,BWA
111,1994-01-20,3.59375,3.671875,3.59375,3.671875,2.578508138656616,119200,BWA
112,1994-01-21,3.65625,3.78125,3.640625,3.75,2.633368492126465,209600,BWA
113,1994-01-24,3.78125,3.84375,3.75,3.78125,2.655313730239868,1111200,BWA
114,1994-01-25,3.765625,3.765625,3.71875,3.75,2.633368492126465,252800,BWA
115,1994-01-26,3.71875,3.78125,3.71875,3.78125,2.66642427444458,196000,BWA
116,1994-01-27,3.78125,3.859375,3.78125,3.859375,2.72151517868042,272000,BWA
117,1994-01-28,3.84375,3.84375,3.765625,3.84375,2.7104978561401367,228000,BWA
118,1994-01-31,3.8125,4.09375,3.8125,4.09375,2.886789560317993,601600,BWA
119,1994-02-01,4.078125,4.078125,3.96875,3.96875,2.7986435890197754,346400,BWA
120,1994-02-02,3.96875,4.0,3.953125,3.953125,2.787626266479492,84800,BWA
121,1994-02-03,3.9375,3.96875,3.9375,3.96875,2.7986435890197754,118400,BWA
122,1994-02-04,4.0625,4.078125,4.0,4.015625,2.831697940826416,390400,BWA
123,1994-02-07,3.96875,4.03125,3.9375,4.03125,2.8427162170410156,148800,BWA
124,1994-02-08,4.03125,4.09375,4.0,4.09375,2.886789560317993,654400,BWA
125,1994-02-09,4.125,4.21875,4.125,4.1875,2.952899932861328,1688000,BWA
126,1994-02-10,4.1875,4.1875,4.078125,4.109375,2.8978090286254883,215200,BWA
127,1994-02-11,4.078125,4.078125,4.0,4.0,2.8206801414489746,69600,BWA
128,1994-02-14,3.96875,3.96875,3.875,3.90625,2.7545711994171143,291200,BWA
129,1994-02-15,3.90625,3.90625,3.796875,3.796875,2.677443504333496,45600,BWA
130,1994-02-16,3.765625,3.828125,3.765625,3.828125,2.699479103088379,400000,BWA
131,1994-02-17,3.796875,3.90625,3.796875,3.90625,2.7545711994171143,119200,BWA
132,1994-02-18,3.9375,3.984375,3.9375,3.9375,2.7766079902648926,174400,BWA
133,1994-02-22,3.96875,4.0,3.96875,4.0,2.8206801414489746,34400,BWA
134,1994-02-23,3.96875,3.96875,3.890625,3.890625,2.7435524463653564,38400,BWA
135,1994-02-24,3.921875,3.921875,3.8125,3.859375,2.72151517868042,344000,BWA
136,1994-02-25,3.8125,3.8125,3.78125,3.78125,2.66642427444458,34400,BWA
137,1994-02-28,3.75,3.84375,3.71875,3.84375,2.7104978561401367,163200,BWA
138,1994-03-01,3.84375,3.875,3.78125,3.8125,2.688460350036621,242400,BWA
139,1994-03-02,3.75,3.765625,3.6875,3.765625,2.6554057598114014,215200,BWA
140,1994-03-03,3.734375,3.78125,3.71875,3.75,2.6443862915039062,587200,BWA
141,1994-03-04,3.75,3.78125,3.75,3.75,2.6443862915039062,207200,BWA
142,1994-03-07,3.78125,3.859375,3.78125,3.84375,2.7104978561401367,68000,BWA
143,1994-03-08,3.859375,4.0,3.859375,4.0,2.8206801414489746,116000,BWA
144,1994-03-09,3.984375,4.09375,3.9375,4.0625,2.8647539615631104,187200,BWA
145,1994-03-10,4.09375,4.09375,4.0625,4.0625,2.8647539615631104,7200,BWA
146,1994-03-11,4.0625,4.0625,4.0625,4.0625,2.8647539615631104,212000,BWA
147,1994-03-14,4.0625,4.09375,4.03125,4.078125,2.8757717609405518,163200,BWA
148,1994-03-15,4.09375,4.125,4.09375,4.125,2.9088265895843506,36800,BWA
149,1994-03-16,4.125,4.203125,4.125,4.1875,2.952899932861328,183200,BWA
150,1994-03-17,4.203125,4.21875,4.171875,4.21875,2.9749362468719482,100800,BWA
151,1994-03-18,4.234375,4.25,4.203125,4.203125,2.9639177322387695,119200,BWA
152,1994-03-21,4.21875,4.21875,4.140625,4.15625,2.9308624267578125,31200,BWA
153,1994-03-22,4.125,4.125,4.03125,4.109375,2.8978090286254883,111200,BWA
154,1994-03-23,4.078125,4.125,4.078125,4.125,2.9088265895843506,55200,BWA
155,1994-03-24,4.109375,4.109375,4.03125,4.0625,2.8647539615631104,330400,BWA
156,1994-03-25,4.078125,4.078125,4.015625,4.0625,2.8647539615631104,123200,BWA
157,1994-03-28,4.03125,4.03125,4.0,4.0,2.8206801414489746,15200,BWA
158,1994-03-29,3.96875,3.96875,3.9375,3.9375,2.7766079902648926,24000,BWA
159,1994-03-30,3.84375,3.84375,3.71875,3.765625,2.6554057598114014,121600,BWA
160,1994-03-31,3.71875,3.734375,3.625,3.734375,2.633368730545044,102400,BWA
161,1994-04-04,3.703125,3.703125,3.640625,3.671875,2.58929705619812,28800,BWA
162,1994-04-05,3.6875,3.796875,3.625,3.796875,2.677443504333496,128000,BWA
163,1994-04-06,3.8125,3.84375,3.8125,3.8125,2.688460350036621,532000,BWA
164,1994-04-07,3.875,3.953125,3.875,3.9375,2.7766079902648926,840800,BWA
165,1994-04-08,3.953125,3.953125,3.875,3.875,2.732534646987915,129600,BWA
166,1994-04-11,3.84375,3.859375,3.828125,3.828125,2.699479103088379,32000,BWA
167,1994-04-12,3.765625,3.765625,3.71875,3.71875,2.6223514080047607,108000,BWA
168,1994-04-13,3.6875,3.6875,3.625,3.625,2.5562424659729004,41600,BWA
169,1994-04-14,3.578125,3.59375,3.578125,3.59375,2.534205913543701,72800,BWA
170,1994-04-15,3.5625,3.5625,3.484375,3.484375,2.457077980041504,130400,BWA
171,1994-04-18,3.484375,3.5,3.4375,3.4375,2.4240217208862305,120000,BWA
172,1994-04-19,3.3125,3.3125,3.1875,3.1875,2.247729539871216,196800,BWA
173,1994-04-20,3.1875,3.1875,3.03125,3.09375,2.1816189289093018,998400,BWA
174,1994-04-21,3.125,3.21875,3.125,3.21875,2.2697651386260986,159200,BWA
175,1994-04-22,3.25,3.25,3.234375,3.234375,2.280784845352173,599200,BWA
176,1994-04-25,3.25,3.25,3.234375,3.25,2.2918028831481934,292000,BWA
177,1994-04-26,3.234375,3.28125,3.234375,3.28125,2.327265977859497,77600,BWA
178,1994-04-28,3.34375,3.375,3.34375,3.375,2.3937597274780273,91200,BWA
179,1994-04-29,3.34375,3.375,3.25,3.28125,2.327265977859497,539200,BWA
180,1994-05-02,3.25,3.25,3.1875,3.1875,2.2607715129852295,27200,BWA
181,1994-05-03,3.1875,3.21875,3.1875,3.21875,2.2829370498657227,31200,BWA
182,1994-05-04,3.234375,3.28125,3.234375,3.28125,2.327265977859497,23200,BWA
183,1994-05-05,3.296875,3.3125,3.296875,3.3125,2.3494300842285156,4800,BWA
184,1994-05-06,3.3125,3.3125,3.234375,3.25,2.3051021099090576,36800,BWA
185,1994-05-09,3.28125,3.296875,3.265625,3.296875,2.338348388671875,11200,BWA
186,1994-05-10,3.328125,3.328125,3.328125,3.328125,2.3605127334594727,17600,BWA
187,1994-05-11,3.328125,3.328125,3.28125,3.296875,2.338348388671875,8800,BWA
188,1994-05-12,3.296875,3.296875,3.296875,3.296875,2.338348388671875,12000,BWA
189,1994-05-13,3.265625,3.265625,3.203125,3.21875,2.2829370498657227,52800,BWA
190,1994-05-16,3.234375,3.234375,3.234375,3.234375,2.2940192222595215,5600,BWA
191,1994-05-17,3.203125,3.21875,3.1875,3.21875,2.2829370498657227,117600,BWA
192,1994-05-18,3.1875,3.234375,3.1875,3.234375,2.2940192222595215,29600,BWA
193,1994-05-19,3.203125,3.203125,3.1875,3.1875,2.2607715129852295,10400,BWA
194,1994-05-20,3.171875,3.171875,3.125,3.125,2.2164456844329834,49600,BWA
195,1994-05-23,3.078125,3.078125,3.046875,3.046875,2.1610326766967773,88000,BWA
196,1994-05-24,3.03125,3.03125,3.015625,3.015625,2.1388680934906006,18400,BWA
197,1994-05-25,3.0,3.0,3.0,3.0,2.12778639793396,692000,BWA
198,1994-05-26,2.96875,3.15625,2.96875,3.125,2.2164456844329834,2219200,BWA
199,1994-05-27,3.125,3.140625,3.109375,3.109375,2.2053608894348145,137600,BWA
200,1994-05-31,3.09375,3.09375,3.046875,3.046875,2.1610326766967773,47200,BWA
201,1994-06-01,3.03125,3.03125,2.921875,2.96875,2.105620861053467,278400,BWA
202,1994-06-02,2.984375,2.984375,2.9375,2.9375,2.0834569931030273,408800,BWA
203,1994-06-03,2.953125,2.953125,2.9375,2.953125,2.094538688659668,144800,BWA
204,1994-06-06,2.921875,2.984375,2.921875,2.953125,2.094538688659668,408000,BWA
205,1994-06-07,2.984375,2.984375,2.96875,2.96875,2.105620861053467,36800,BWA
206,1994-06-08,2.953125,2.96875,2.953125,2.96875,2.105620861053467,150400,BWA
207,1994-06-09,2.953125,2.953125,2.921875,2.921875,2.072375774383545,342400,BWA
208,1994-06-10,2.921875,2.9375,2.921875,2.9375,2.0834569931030273,28800,BWA
209,1994-06-13,2.953125,2.953125,2.921875,2.9375,2.0834569931030273,51200,BWA
210,1994-06-14,2.921875,2.9375,2.921875,2.9375,2.0834569931030273,525600,BWA
211,1994-06-15,2.9375,2.96875,2.9375,2.96875,2.105620861053467,440800,BWA
212,1994-06-16,2.96875,2.96875,2.921875,2.921875,2.072375774383545,29600,BWA
213,1994-06-17,2.953125,3.015625,2.953125,3.0,2.12778639793396,691200,BWA
214,1994-06-20,3.015625,3.03125,2.984375,2.984375,2.116703748703003,74400,BWA
215,1994-06-21,2.953125,2.96875,2.9375,2.9375,2.0834569931030273,61600,BWA
216,1994-06-22,2.96875,2.984375,2.9375,2.9375,2.0834569931030273,1308000,BWA
217,1994-06-23,2.921875,2.921875,2.875,2.90625,2.0612919330596924,1070400,BWA
218,1994-06-24,2.90625,2.90625,2.875,2.890625,2.050210475921631,59200,BWA
219,1994-06-27,2.890625,2.890625,2.875,2.875,2.039128541946411,27200,BWA
220,1994-06-28,2.875,2.875,2.859375,2.859375,2.0280449390411377,106400,BWA
221,1994-06-29,2.875,2.875,2.828125,2.859375,2.0280449390411377,259200,BWA
222,1994-06-30,2.84375,2.859375,2.828125,2.828125,2.005882501602173,88000,BWA
223,1994-07-01,2.828125,2.84375,2.828125,2.828125,2.005882501602173,175200,BWA
224,1994-07-05,2.84375,2.859375,2.828125,2.828125,2.005882501602173,427200,BWA
225,1994-07-06,2.921875,3.125,2.90625,3.125,2.2164456844329834,973600,BWA
226,1994-07-07,3.09375,3.21875,3.09375,3.1875,2.2607715129852295,425600,BWA
227,1994-07-08,3.234375,3.28125,3.21875,3.25,2.3051021099090576,237600,BWA
228,1994-07-11,3.1875,3.296875,3.1875,3.28125,2.327265977859497,449600,BWA
229,1994-07-12,3.28125,3.28125,3.234375,3.25,2.3051021099090576,126400,BWA
230,1994-07-13,3.28125,3.3125,3.265625,3.28125,2.327265977859497,235200,BWA
231,1994-07-14,3.328125,3.515625,3.328125,3.515625,2.493499755859375,584000,BWA
232,1994-07-15,3.5,3.5,3.390625,3.40625,2.415924549102783,92000,BWA
233,1994-07-18,3.375,3.4375,3.34375,3.34375,2.371593475341797,52000,BWA
234,1994-07-19,3.375,3.4375,3.375,3.4375,2.4380874633789062,109600,BWA
235,1994-07-20,3.46875,3.5625,3.46875,3.484375,2.471334934234619,541600,BWA
236,1994-07-21,3.5,3.53125,3.5,3.53125,2.5045816898345947,488000,BWA
237,1994-07-22,3.5625,3.59375,3.5625,3.59375,2.5489115715026855,332000,BWA
238,1994-07-25,3.59375,3.625,3.5625,3.5625,2.5267462730407715,105600,BWA
239,1994-07-26,3.546875,3.59375,3.515625,3.59375,2.5623974800109863,19200,BWA
240,1994-07-27,3.59375,3.59375,3.59375,3.59375,2.5623974800109863,2400,BWA
241,1994-07-28,3.625,3.625,3.625,3.625,2.5846784114837646,2400,BWA
242,1994-07-29,3.59375,3.609375,3.59375,3.609375,2.573535919189453,208000,BWA
243,1994-08-01,3.578125,3.578125,3.53125,3.53125,2.5178327560424805,25600,BWA
244,1994-08-02,3.5625,3.640625,3.5625,3.609375,2.573535919189453,128800,BWA
245,1994-08-03,3.59375,3.625,3.59375,3.625,2.5846784114837646,85600,BWA
246,1994-08-04,3.59375,3.59375,3.53125,3.53125,2.5178327560424805,57600,BWA
247,1994-08-05,3.5,3.5,3.453125,3.46875,2.473268747329712,109600,BWA
248,1994-08-08,3.453125,3.453125,3.265625,3.28125,2.339578628540039,94400,BWA
249,1994-08-09,3.25,3.28125,3.1875,3.25,2.317298412322998,302400,BWA
250,1994-08-10,3.25,3.28125,3.234375,3.28125,2.339578628540039,200800,BWA
251,1994-08-11,3.28125,3.296875,3.25,3.25,2.317298412322998,152000,BWA
252,1994-08-12,3.28125,3.5,3.28125,3.46875,2.473268747329712,242400,BWA
253,1994-08-15,3.515625,3.59375,3.390625,3.390625,2.417564868927002,364000,BWA
254,1994-08-16,3.421875,3.5,3.40625,3.46875,2.473268747329712,213600,BWA
255,1994-08-17,3.5,3.5,3.390625,3.390625,2.417564868927002,108000,BWA
256,1994-08-18,3.375,3.40625,3.375,3.40625,2.4287068843841553,351200,BWA
257,1994-08-19,3.4375,3.4375,3.390625,3.390625,2.417564868927002,36800,BWA
258,1994-08-22,3.421875,3.421875,3.375,3.40625,2.4287068843841553,26400,BWA
