,date,open,high,low,close,adjclose,volume,ticker
0,1997-10-16,5.8125,5.8125,5.5625,5.6875,3.620542287826538,7436400,CHRW
1,1997-10-17,5.65625,5.75,5.40625,5.59375,3.560864210128784,3390400,CHRW
2,1997-10-20,5.5,5.625,5.46875,5.53125,3.521075487136841,3068000,CHRW
3,1997-10-21,5.5625,5.6875,5.5,5.59375,3.560864210128784,2382400,CHRW
4,1997-10-22,5.6875,5.75,5.59375,5.71875,3.640436887741089,1525200,CHRW
5,1997-10-23,5.6875,5.6875,5.53125,5.59375,3.560864210128784,1622400,CHRW
6,1997-10-24,5.65625,5.71875,5.5625,5.71875,3.640436887741089,813600,CHRW
7,1997-10-27,5.65625,5.75,5.375,5.421875,3.4514505863189697,1507200,CHRW
8,1997-10-28,5.25,5.6875,4.9375,5.59375,3.560864210128784,2955600,CHRW
9,1997-10-29,5.6875,5.71875,5.59375,5.65625,3.600649356842041,1859200,CHRW
10,1997-10-30,5.53125,5.5625,5.375,5.5,3.5011847019195557,856000,CHRW
11,1997-10-31,5.4375,5.640625,5.4375,5.5,3.5011847019195557,561600,CHRW
12,1997-11-03,5.625,5.84375,5.53125,5.734375,3.6503829956054688,1004000,CHRW
13,1997-11-04,5.75,5.875,5.6875,5.78125,3.680225133895874,364000,CHRW
14,1997-11-05,5.8125,6.0625,5.78125,5.90625,3.759796142578125,324400,CHRW
15,1997-11-06,5.875,6.25,5.875,6.25,3.97861909866333,361600,CHRW
16,1997-11-07,6.1875,6.625,6.03125,6.4375,4.097978115081787,662400,CHRW
17,1997-11-10,6.3125,6.5,6.15625,6.15625,3.9189395904541016,266800,CHRW
18,1997-11-11,5.9375,6.0,5.75,6.0,3.8194758892059326,618000,CHRW
19,1997-11-12,6.0,6.0,5.5625,5.6875,3.620542287826538,314800,CHRW
20,1997-11-13,5.5625,5.625,5.46875,5.5,3.5011847019195557,500000,CHRW
21,1997-11-14,5.4375,5.5,5.3125,5.4375,3.461397886276245,438000,CHRW
22,1997-11-17,5.5,5.84375,5.5,5.8125,3.7001142501831055,284000,CHRW
23,1997-11-18,5.875,5.875,5.6875,5.71875,3.640436887741089,1429600,CHRW
24,1997-11-19,5.71875,5.8125,5.5625,5.5625,3.5409693717956543,148400,CHRW
25,1997-11-20,5.625,5.625,5.3125,5.5625,3.5409693717956543,1268000,CHRW
26,1997-11-21,5.5625,5.625,5.5,5.53125,3.521075487136841,640800,CHRW
27,1997-11-24,5.5,5.59375,5.5,5.53125,3.521075487136841,64400,CHRW
28,1997-11-25,5.5625,5.625,5.5,5.515625,3.5111310482025146,326800,CHRW
