,date,open,high,low,close,adjclose,volume,ticker
0,1973-02-21,0.0,5.65625,5.453125,5.53125,1.7564462423324585,115200,CLX
1,1973-02-22,0.0,5.515625,5.4375,5.4375,1.7266762256622314,178400,CLX
2,1973-02-23,0.0,5.5,5.40625,5.46875,1.736599087715149,75200,CLX
3,1973-02-26,0.0,5.421875,5.265625,5.375,1.7068301439285278,157600,CLX
4,1973-02-27,0.0,5.40625,4.84375,4.859375,1.5430917739868164,248800,CLX
5,1973-02-28,0.0,5.03125,4.75,5.0,1.587747573852539,460800,CLX
6,1973-03-01,0.0,5.1875,4.8125,4.8125,1.5282061100006104,287200,CLX
7,1973-03-02,0.0,4.90625,4.5625,4.90625,1.5579780340194702,338400,CLX
8,1973-03-05,0.0,5.09375,4.90625,5.078125,1.6125562191009521,392800,CLX
9,1973-03-06,0.0,5.21875,5.09375,5.21875,1.6572126150131226,175200,CLX
10,1973-03-07,0.0,5.359375,5.25,5.296875,1.6820212602615356,280800,CLX
11,1973-03-08,0.0,5.40625,5.328125,5.375,1.7068301439285278,185600,CLX
12,1973-03-09,0.0,5.390625,5.3125,5.375,1.7068301439285278,331200,CLX
13,1973-03-12,0.0,5.4375,5.3125,5.359375,1.7018675804138184,108000,CLX
14,1973-03-13,0.0,5.5,5.328125,5.40625,1.716752529144287,186400,CLX
15,1973-03-14,0.0,5.609375,5.5,5.546875,1.761407494544983,115200,CLX
16,1973-03-15,0.0,5.609375,5.5,5.5,1.7465238571166992,63200,CLX
17,1973-03-16,0.0,5.53125,5.375,5.515625,1.7514852285385132,200800,CLX
18,1973-03-19,0.0,5.515625,5.34375,5.375,1.7068301439285278,100000,CLX
19,1973-03-20,0.0,5.375,5.21875,5.265625,1.6720964908599854,131200,CLX
20,1973-03-21,0.0,5.3125,4.890625,4.890625,1.5530158281326294,92800,CLX
21,1973-03-22,0.0,5.046875,4.875,5.0,1.587747573852539,111200,CLX
22,1973-03-23,0.0,5.03125,4.921875,4.953125,1.5728627443313599,154400,CLX
23,1973-03-26,0.0,5.203125,5.0,5.203125,1.6522499322891235,88800,CLX
24,1973-03-27,0.0,5.265625,5.140625,5.140625,1.6324023008346558,130400,CLX
25,1973-03-28,0.0,5.15625,5.0625,5.125,1.6274410486221313,155200,CLX
26,1973-03-29,0.0,5.21875,5.125,5.140625,1.6324023008346558,272000,CLX
27,1973-03-30,0.0,5.140625,5.046875,5.109375,1.622479796409607,103200,CLX
28,1973-04-02,0.0,5.109375,5.0,5.03125,1.597671627998352,73600,CLX
29,1973-04-03,0.0,5.03125,4.90625,4.90625,1.5579780340194702,184800,CLX
30,1973-04-04,0.0,4.90625,4.828125,4.84375,1.5381308794021606,143200,CLX
31,1973-04-05,0.0,4.875,4.78125,4.859375,1.5430917739868164,66400,CLX
