,date,open,high,low,close,adjclose,volume,ticker
0,1986-07-09,10.6875,11.0625,10.5625,11.0,7.62765645980835,1116800,COST
1,1986-07-10,11.0625,11.125,10.6875,10.9375,7.584312915802002,595600,COST
2,1986-07-11,10.875,10.9375,10.5625,10.5625,7.324282169342041,800400,COST
3,1986-07-14,10.625,10.625,10.125,10.25,7.1075897216796875,738000,COST
4,1986-07-15,10.1875,10.1875,9.3125,9.9375,6.890892505645752,2059200,COST
5,1986-07-16,9.9375,10.5,9.9375,10.125,7.020908355712891,1160400,COST
6,1986-07-17,10.125,10.25,10.0,10.1875,7.064249515533447,1046000,COST
7,1986-07-18,10.1875,10.34375,10.0,10.25,7.1075897216796875,1420000,COST
8,1986-07-21,10.25,10.3125,10.1875,10.25,7.1075897216796875,322800,COST
9,1986-07-22,10.25,10.28125,10.1875,10.1875,7.064249515533447,390800,COST
10,1986-07-23,10.25,10.25,10.0,10.0625,6.977569580078125,1004000,COST
11,1986-07-24,10.0625,10.125,9.8125,9.9375,6.890892505645752,1071600,COST
12,1986-07-25,9.9375,10.125,9.875,10.0625,6.977569580078125,688400,COST
13,1986-07-28,10.0625,10.25,9.96875,10.125,7.020908355712891,414800,COST
14,1986-07-29,10.0,10.1875,10.0,10.1875,7.064249515533447,278400,COST
15,1986-07-30,10.0625,10.125,9.875,10.125,7.020908355712891,459200,COST
16,1986-07-31,10.125,10.25,10.0,10.0625,6.977569580078125,1213600,COST
17,1986-08-01,10.0,10.125,9.75,9.75,6.760876655578613,1118000,COST
18,1986-08-04,9.8125,9.8125,9.53125,9.75,6.760876655578613,892400,COST
19,1986-08-05,9.75,9.75,9.5,9.5625,6.630858898162842,868800,COST
20,1986-08-06,9.5625,9.625,9.125,9.125,6.327483654022217,550400,COST
21,1986-08-07,9.0,9.0625,8.125,8.375,5.807419300079346,7560000,COST
22,1986-08-08,8.4375,8.9375,8.375,8.875,6.154130458831787,2802000,COST
23,1986-08-11,9.0,9.125,8.875,9.125,6.327483654022217,1428000,COST
24,1986-08-12,9.125,9.4375,9.125,9.375,6.5008440017700195,1155200,COST
25,1986-08-13,9.4375,10.09375,9.375,9.6875,6.717535018920898,865600,COST
26,1986-08-14,9.75,9.8125,9.375,9.5,6.587520122528076,762000,COST
27,1986-08-15,9.5,9.5,9.1875,9.375,6.5008440017700195,654400,COST
28,1986-08-18,9.4375,9.875,9.25,9.6875,6.717535018920898,606800,COST
29,1986-08-19,9.75,9.75,9.5,9.5625,6.630858898162842,2744000,COST
30,1986-08-20,9.5625,9.5625,9.375,9.5,6.587520122528076,500000,COST
31,1986-08-21,9.5,9.5625,9.4375,9.4375,6.5441813468933105,353200,COST
32,1986-08-22,9.5,9.5625,9.375,9.375,6.5008440017700195,286000,COST
33,1986-08-25,9.5,9.5,9.125,9.25,6.4141645431518555,766400,COST
34,1986-08-26,9.1875,9.375,9.1875,9.375,6.5008440017700195,408800,COST
35,1986-08-27,9.375,9.375,9.1875,9.3125,6.457504749298096,686400,COST
36,1986-08-28,9.3125,9.3125,9.125,9.1875,6.370826244354248,286000,COST
37,1986-08-29,9.125,9.25,9.0625,9.125,6.327483654022217,1128800,COST
38,1986-09-02,9.1875,9.1875,8.6875,8.75,6.0674519538879395,916800,COST
39,1986-09-03,8.75,8.9375,8.6875,8.9375,6.197470188140869,684400,COST
40,1986-09-04,9.0,9.3125,8.875,9.3125,6.457504749298096,576800,COST
41,1986-09-05,9.3125,9.4375,9.0,9.0,6.240809440612793,961600,COST
42,1986-09-08,9.125,9.125,8.625,8.75,6.0674519538879395,1793200,COST
43,1986-09-09,8.6875,8.75,8.5,8.625,5.980774879455566,388000,COST
44,1986-09-10,8.625,8.625,8.5,8.5,5.894097805023193,802400,COST
45,1986-09-11,8.5625,8.5625,7.75,7.9375,5.504047393798828,6240000,COST
46,1986-09-12,7.875,7.9375,7.5625,7.625,5.287354946136475,2066800,COST
47,1986-09-15,7.625,7.75,7.4375,7.625,5.287354946136475,1746800,COST
48,1986-09-16,7.5625,7.625,7.3125,7.4375,5.15733528137207,1547200,COST
49,1986-09-17,7.5,7.5,7.0625,7.375,5.1139960289001465,997600,COST
50,1986-09-18,7.375,8.75,7.375,8.75,6.0674519538879395,833200,COST
51,1986-09-19,8.75,8.75,8.1875,8.5625,5.937436580657959,928000,COST
52,1986-09-22,8.5625,8.6875,8.375,8.5,5.894097805023193,464000,COST
53,1986-09-23,8.5625,8.5625,8.0625,8.25,5.720741271972656,436400,COST
54,1986-09-24,8.25,8.5625,8.125,8.5,5.894097805023193,649600,COST
55,1986-09-25,8.5,8.5,8.3125,8.3125,5.76408052444458,305600,COST
56,1986-09-26,8.3125,8.4375,8.25,8.3125,5.76408052444458,278400,COST
57,1986-09-29,8.375,8.375,8.0625,8.25,5.720741271972656,724800,COST
58,1986-09-30,8.1875,8.75,8.1875,8.5625,5.937436580657959,773200,COST
59,1986-10-01,8.6875,8.75,8.5625,8.5625,5.937436580657959,668400,COST
60,1986-10-02,8.5625,8.625,8.5625,8.5625,5.937436580657959,592000,COST
61,1986-10-03,8.625,8.625,8.25,8.375,5.807419300079346,228000,COST
62,1986-10-06,8.5,8.5,8.3125,8.4375,5.850757598876953,467600,COST
63,1986-10-07,8.375,8.5,8.375,8.4375,5.850757598876953,176000,COST
64,1986-10-08,8.5,8.625,8.4375,8.625,5.980774879455566,558800,COST
65,1986-10-09,8.625,8.625,8.375,8.4375,5.850757598876953,243200,COST
66,1986-10-10,8.4375,8.4375,8.25,8.3125,5.76408052444458,238400,COST
67,1986-10-13,8.375,8.375,8.0625,8.0625,5.590723037719727,362800,COST
68,1986-10-14,8.0625,8.625,8.0625,8.5,5.894097805023193,612000,COST
69,1986-10-15,8.5625,8.8125,8.5,8.75,6.0674519538879395,606800,COST
70,1986-10-16,8.75,8.8125,8.6875,8.6875,6.024115562438965,269200,COST
71,1986-10-17,8.75,8.75,8.4375,8.5,5.894097805023193,216000,COST
72,1986-10-20,8.4375,8.5,8.0625,8.3125,5.76408052444458,595200,COST
73,1986-10-21,8.3125,8.3125,8.1875,8.1875,5.677402496337891,327200,COST
74,1986-10-22,8.3125,8.3125,8.1875,8.25,5.720741271972656,396000,COST
75,1986-10-23,8.3125,8.3125,8.25,8.28125,5.74241304397583,1358400,COST
76,1986-10-24,8.3125,8.375,8.25,8.3125,5.76408052444458,809600,COST
77,1986-10-27,8.375,8.375,8.25,8.3125,5.76408052444458,305200,COST
78,1986-10-28,8.25,8.5,8.25,8.5,5.894097805023193,329200,COST
79,1986-10-29,8.5,9.0,8.5,8.875,6.154130458831787,835600,COST
80,1986-10-30,8.875,9.1875,8.8125,9.0625,6.284148693084717,973200,COST
81,1986-10-31,9.0625,9.0625,8.875,9.0,6.240809440612793,632400,COST
82,1986-11-03,8.875,9.0625,8.875,9.0,6.240809440612793,408800,COST
83,1986-11-04,8.9375,9.0625,8.9375,8.9375,6.197470188140869,283200,COST
84,1986-11-05,9.0,9.0,8.875,8.875,6.154130458831787,231200,COST
85,1986-11-06,8.875,8.9375,8.5625,8.8125,6.110793113708496,434000,COST
86,1986-11-07,8.8125,8.9375,8.75,8.78125,6.0891242027282715,517200,COST
87,1986-11-10,8.8125,8.8125,8.625,8.75,6.0674519538879395,503200,COST
88,1986-11-11,8.8125,8.9375,8.6875,8.9375,6.197470188140869,142000,COST
89,1986-11-12,8.9375,9.03125,8.875,8.96875,6.21914005279541,669600,COST
90,1986-11-13,8.9375,9.0,8.375,8.375,5.807419300079346,578800,COST
91,1986-11-14,8.3125,8.4375,8.1875,8.375,5.807419300079346,806000,COST
92,1986-11-17,8.375,8.4375,8.25,8.375,5.807419300079346,734400,COST
93,1986-11-18,8.4375,8.4375,8.1875,8.25,5.720741271972656,605600,COST
94,1986-11-19,8.3125,8.375,8.1875,8.3125,5.76408052444458,495600,COST
95,1986-11-20,8.3125,8.5,8.3125,8.5,5.894097805023193,828400,COST
96,1986-11-21,8.5625,9.0,8.5,8.9375,6.197470188140869,666800,COST
