,date,open,high,low,close,adjclose,volume,ticker
0,1993-07-22,22.75,23.0,22.625,23.0,4.695275783538818,3159100,CPT
1,1993-07-23,23.0,23.625,23.0,23.25,4.746313571929932,609900,CPT
2,1993-07-26,23.25,23.25,22.75,22.75,4.644244194030762,218400,CPT
3,1993-07-27,22.875,22.875,22.75,22.75,4.644244194030762,183800,CPT
4,1993-07-28,22.75,23.125,22.75,23.0,4.695275783538818,192900,CPT
5,1993-07-29,23.0,23.125,22.875,22.875,4.669761657714844,114100,CPT
6,1993-07-30,22.875,22.875,22.75,22.875,4.669761657714844,57200,CPT
7,1993-08-02,22.875,23.0,22.75,22.75,4.644244194030762,79800,CPT
8,1993-08-03,22.875,23.0,22.75,23.0,4.695275783538818,155100,CPT
9,1993-08-04,23.0,23.125,22.875,23.125,4.720795631408691,81000,CPT
10,1993-08-05,23.0,23.125,22.875,22.875,4.669761657714844,94500,CPT
11,1993-08-06,22.875,23.0,22.875,23.0,4.695275783538818,137000,CPT
12,1993-08-09,22.875,23.0,22.875,22.875,4.669761657714844,119200,CPT
13,1993-08-10,22.875,22.875,22.5,22.5,4.593205451965332,75700,CPT
14,1993-08-11,22.625,22.625,22.25,22.375,4.567691326141357,37100,CPT
15,1993-08-12,22.375,22.375,22.25,22.25,4.542171955108643,21400,CPT
16,1993-08-13,22.125,22.5,22.0,22.375,4.567691326141357,49500,CPT
17,1993-08-16,22.375,22.375,22.375,22.375,4.567691326141357,9800,CPT
18,1993-08-17,22.375,22.5,22.25,22.5,4.593205451965332,29900,CPT
19,1993-08-18,22.375,22.375,22.125,22.125,4.5166521072387695,61500,CPT
20,1993-08-19,22.125,22.5,22.125,22.375,4.567691326141357,56300,CPT
21,1993-08-20,22.25,22.25,22.125,22.25,4.542171955108643,37100,CPT
22,1993-08-23,22.5,22.75,22.5,22.75,4.644244194030762,51700,CPT
23,1993-08-24,23.0,23.5,23.0,23.5,4.79734992980957,87400,CPT
24,1993-08-25,23.5,23.625,23.25,23.5,4.79734992980957,42200,CPT
25,1993-08-26,23.5,23.5,23.25,23.375,4.771833896636963,25100,CPT
26,1993-08-27,23.375,23.5,23.25,23.5,4.79734992980957,22000,CPT
27,1993-08-30,23.5,23.625,23.375,23.5,4.79734992980957,38600,CPT
28,1993-08-31,23.625,24.125,23.625,24.0,4.899418830871582,79300,CPT
29,1993-09-01,24.125,24.75,24.125,24.5,5.001490592956543,69200,CPT
30,1993-09-02,24.625,24.625,24.125,24.25,4.950456142425537,46800,CPT
31,1993-09-03,24.375,24.5,24.125,24.5,5.001490592956543,27800,CPT
32,1993-09-07,24.5,24.625,24.375,24.5,5.001490592956543,23900,CPT
33,1993-09-08,24.5,24.5,24.25,24.5,5.001490592956543,36800,CPT
34,1993-09-09,24.375,24.625,24.375,24.5,5.001490592956543,20800,CPT
35,1993-09-10,24.625,24.75,24.5,24.75,5.052525997161865,10700,CPT
36,1993-09-13,24.75,25.25,24.625,25.0,5.1035637855529785,24600,CPT
37,1993-09-14,24.875,25.25,24.75,25.0,5.1035637855529785,25500,CPT
38,1993-09-15,25.0,26.0,24.875,25.625,5.23115348815918,51700,CPT
39,1993-09-16,25.625,25.625,25.375,25.625,5.23115348815918,16600,CPT
40,1993-09-17,25.5,25.875,25.375,25.875,5.282187461853027,38100,CPT
41,1993-09-20,25.75,25.875,25.625,25.625,5.23115348815918,28200,CPT
42,1993-09-21,25.625,25.625,25.125,25.5,5.205634117126465,53200,CPT
43,1993-09-22,25.5,25.75,25.375,25.5,5.205634117126465,26100,CPT
44,1993-09-23,25.375,25.625,25.375,25.5,5.205634117126465,20700,CPT
45,1993-09-24,25.25,25.375,25.25,25.375,5.180118083953857,23000,CPT
46,1993-09-27,25.5,25.625,25.5,25.625,5.23115348815918,35400,CPT
47,1993-09-28,25.875,26.5,25.75,26.5,5.40977668762207,235900,CPT
48,1993-09-29,26.5,26.875,26.5,26.75,5.460812091827393,36300,CPT
49,1993-09-30,26.875,27.5,26.5,27.375,5.5884013175964355,66100,CPT
50,1993-10-01,27.375,27.625,27.25,27.375,5.5884013175964355,55500,CPT
51,1993-10-04,26.75,27.0,26.625,26.875,5.486332416534424,88600,CPT
52,1993-10-05,26.75,26.875,26.5,26.625,5.4352946281433105,43900,CPT
53,1993-10-06,26.5,26.5,26.25,26.375,5.384258270263672,34200,CPT
54,1993-10-07,25.75,26.0,25.625,25.875,5.338865280151367,204200,CPT
55,1993-10-08,25.875,26.0,25.75,25.875,5.338865280151367,126000,CPT
56,1993-10-11,25.75,26.5,25.75,26.25,5.416240692138672,20300,CPT
