,date,open,high,low,close,adjclose,volume,ticker
0,1972-06-01,0.0,21.125,20.75,20.875,1.1910356283187866,42000,ETR
1,1972-06-02,20.875,21.125,20.75,21.0,1.198167324066162,17600,ETR
2,1972-06-05,21.0,21.25,20.875,20.875,1.1910356283187866,13200,ETR
3,1972-06-06,20.75,20.75,20.5,20.625,1.1919023990631104,15700,ETR
4,1972-06-07,20.625,20.75,20.625,20.625,1.1919023990631104,5000,ETR
5,1972-06-08,20.625,20.875,20.375,20.375,1.177455186843872,32900,ETR
6,1972-06-09,20.375,20.5,20.25,20.25,1.1702312231063843,18500,ETR
7,1972-06-12,20.25,20.625,20.25,20.5,1.1846791505813599,10600,ETR
8,1972-06-13,20.5,20.5,20.0,20.25,1.1702312231063843,38400,ETR
9,1972-06-14,20.125,20.125,19.75,19.75,1.1413367986679077,126800,ETR
10,1972-06-15,19.75,19.875,19.75,19.875,1.148560881614685,14100,ETR
11,1972-06-16,19.875,19.875,19.625,19.875,1.148560881614685,9000,ETR
12,1972-06-19,19.875,20.0,19.75,19.875,1.148560881614685,8500,ETR
13,1972-06-20,19.875,19.875,19.625,19.625,1.1341134309768677,40600,ETR
14,1972-06-21,19.625,19.875,19.375,19.375,1.119665265083313,57000,ETR
15,1972-06-22,19.375,19.625,19.375,19.625,1.1341134309768677,23700,ETR
16,1972-06-23,19.625,19.625,19.375,19.625,1.1341134309768677,53000,ETR
17,1972-06-26,19.625,19.75,19.375,19.5,1.1268898248672485,14400,ETR
18,1972-06-27,19.5,19.5,19.375,19.5,1.1268898248672485,14200,ETR
19,1972-06-28,19.5,19.875,19.375,19.875,1.148560881614685,21000,ETR
20,1972-06-29,19.875,20.0,19.625,19.875,1.148560881614685,13300,ETR
21,1972-06-30,19.875,20.375,19.875,20.25,1.1702312231063843,47100,ETR
22,1972-07-03,20.25,20.5,20.0,20.25,1.1702312231063843,7300,ETR
23,1972-07-05,20.5,21.0,20.5,20.875,1.2063496112823486,22400,ETR
24,1972-07-06,20.875,21.375,20.875,21.375,1.235243558883667,15300,ETR
25,1972-07-07,21.375,21.625,21.25,21.625,1.2496918439865112,23900,ETR
26,1972-07-10,21.625,21.875,21.375,21.75,1.256914496421814,25600,ETR
27,1972-07-11,21.5,21.5,21.125,21.125,1.2207961082458496,14400,ETR
28,1972-07-12,21.125,21.625,21.125,21.375,1.235243558883667,4800,ETR
29,1972-07-13,21.375,21.625,21.125,21.125,1.2207961082458496,6000,ETR
