,date,open,high,low,close,adjclose,volume,ticker
0,1999-05-04,76.0,77.25,70.0,70.375,51.7398567199707,22320900,GS
1,1999-05-05,69.875,69.875,66.25,69.125,50.82081985473633,7565700,GS
2,1999-05-06,68.0,69.375,67.0625,67.9375,49.94777297973633,2905700,GS
3,1999-05-07,67.9375,74.875,66.75,74.125,54.4968376159668,4862300,GS
4,1999-05-10,73.375,73.5,70.25,70.6875,51.969581604003906,2589400,GS
5,1999-05-11,70.0,71.1875,69.5,70.625,51.92366027832031,1839800,GS
6,1999-05-12,71.0,74.875,69.125,73.5,54.03734588623047,2659300,GS
7,1999-05-13,73.25,75.25,72.5,73.1875,53.80760192871094,1142900,GS
8,1999-05-14,71.25,72.25,69.0625,70.1875,51.60199737548828,2058400,GS
9,1999-05-17,69.125,70.25,68.0,68.625,50.4532356262207,2075000,GS
10,1999-05-18,68.25,70.4375,68.125,68.625,50.4532356262207,1407100,GS
11,1999-05-19,69.375,69.8125,68.75,69.3125,50.95869827270508,727400,GS
12,1999-05-20,69.5625,70.125,68.375,68.375,50.26943588256836,520800,GS
13,1999-05-21,68.125,68.8125,67.5,67.5,49.62614059448242,936200,GS
14,1999-05-24,67.0,67.25,65.0,65.3125,48.01789474487305,1493000,GS
15,1999-05-25,64.125,65.9375,64.0,64.5,47.42055130004883,1662400,GS
16,1999-05-26,65.625,66.625,63.0625,66.0625,48.56926345825195,1602900,GS
17,1999-05-27,65.0,67.75,64.6875,67.75,49.8099250793457,1220500,GS
18,1999-05-28,67.75,68.8125,67.0,67.9375,49.94777297973633,901900,GS
19,1999-06-01,66.625,66.625,63.5625,64.1875,47.1907844543457,953900,GS
20,1999-06-02,63.75,64.0625,62.0,63.25,46.50150680541992,2204300,GS
21,1999-06-03,64.0,64.1875,63.125,63.625,46.77722930908203,852600,GS
22,1999-06-04,64.3125,67.0,64.3125,65.375,48.063838958740234,1357400,GS
23,1999-06-07,65.1875,67.75,65.1875,65.9375,48.47738265991211,891900,GS
24,1999-06-08,65.375,65.6875,63.75,63.75,46.869140625,571700,GS
25,1999-06-09,64.25,65.5,63.625,65.5,48.155738830566406,611400,GS
26,1999-06-10,64.875,64.9375,63.3125,63.375,46.593421936035156,664200,GS
27,1999-06-11,63.9375,64.3125,62.3125,63.25,46.50150680541992,969300,GS
28,1999-06-14,63.5,64.0,60.5,61.25,45.03113555908203,821100,GS
29,1999-06-15,62.875,63.375,62.25,62.75,46.13392639160156,831700,GS
30,1999-06-16,63.9375,65.4375,63.9375,65.25,47.97193908691406,690300,GS
