,date,open,high,low,close,adjclose,volume,ticker
0,1990-03-01,0.0,2.4375,1.96875,2.390625,2.390625,17829600,HOLX
1,1990-03-02,0.0,2.4375,2.25,2.25,2.25,2263200,HOLX
2,1990-03-05,0.0,2.3125,2.21875,2.28125,2.28125,741600,HOLX
3,1990-03-06,0.0,2.34375,2.1875,2.234375,2.234375,779200,HOLX
4,1990-03-07,0.0,2.25,2.15625,2.15625,2.15625,293600,HOLX
5,1990-03-08,0.0,2.25,2.15625,2.21875,2.21875,839200,HOLX
6,1990-03-09,0.0,2.28125,2.15625,2.21875,2.21875,360800,HOLX
7,1990-03-12,0.0,2.21875,2.1875,2.1875,2.1875,151200,HOLX
8,1990-03-13,0.0,2.21875,2.15625,2.1875,2.1875,204000,HOLX
9,1990-03-14,0.0,2.1875,2.15625,2.171875,2.171875,215200,HOLX
10,1990-03-15,0.0,2.34375,2.15625,2.3125,2.3125,880800,HOLX
11,1990-03-16,0.0,2.40625,2.34375,2.34375,2.34375,255200,HOLX
12,1990-03-19,0.0,2.40625,2.34375,2.40625,2.40625,146400,HOLX
13,1990-03-20,0.0,2.40625,2.375,2.40625,2.40625,69600,HOLX
14,1990-03-21,0.0,2.40625,2.3125,2.34375,2.34375,63200,HOLX
15,1990-03-22,0.0,2.40625,2.25,2.25,2.25,182400,HOLX
16,1990-03-23,0.0,2.3125,2.25,2.3125,2.3125,12000,HOLX
17,1990-03-26,2.34375,2.34375,2.28125,2.28125,2.28125,18400,HOLX
18,1990-03-27,2.296875,2.296875,2.21875,2.28125,2.28125,141600,HOLX
19,1990-03-28,2.1875,2.25,2.1875,2.21875,2.21875,136800,HOLX
20,1990-03-29,2.25,2.28125,2.21875,2.21875,2.21875,164000,HOLX
21,1990-03-30,2.21875,2.34375,2.21875,2.34375,2.34375,453600,HOLX
22,1990-04-02,2.28125,2.3125,2.25,2.3125,2.3125,113600,HOLX
23,1990-04-03,2.3125,2.3125,2.28125,2.28125,2.28125,48800,HOLX
24,1990-04-04,2.3125,2.3125,2.1875,2.1875,2.1875,333600,HOLX
25,1990-04-05,2.25,2.25,2.21875,2.25,2.25,15200,HOLX
26,1990-04-06,2.1875,2.25,2.15625,2.1875,2.1875,111200,HOLX
27,1990-04-09,2.15625,2.1875,2.125,2.125,2.125,88800,HOLX
28,1990-04-10,2.1875,2.1875,2.0625,2.125,2.125,356800,HOLX
29,1990-04-11,2.15625,2.1875,2.125,2.171875,2.171875,240000,HOLX
30,1990-04-12,2.1875,2.21875,2.125,2.15625,2.15625,120800,HOLX
31,1990-04-16,2.21875,2.21875,2.125,2.125,2.125,84800,HOLX
32,1990-04-17,2.125,2.15625,2.09375,2.09375,2.09375,103200,HOLX
33,1990-04-18,2.09375,2.125,2.09375,2.125,2.125,7200,HOLX
34,1990-04-19,2.125,2.140625,2.125,2.140625,2.140625,16000,HOLX
35,1990-04-20,2.1875,2.1875,2.125,2.125,2.125,30400,HOLX
36,1990-04-23,2.1875,2.25,2.1875,2.1875,2.1875,268000,HOLX
37,1990-04-24,2.28125,2.28125,2.21875,2.25,2.25,125600,HOLX
38,1990-04-25,2.25,2.34375,2.25,2.3125,2.3125,93600,HOLX
39,1990-04-26,2.4375,2.53125,2.375,2.53125,2.53125,371200,HOLX
40,1990-04-27,2.5625,2.65625,2.5,2.578125,2.578125,232000,HOLX
41,1990-04-30,2.53125,2.65625,2.53125,2.65625,2.65625,42400,HOLX
42,1990-05-01,2.65625,2.65625,2.59375,2.65625,2.65625,23200,HOLX
43,1990-05-02,2.625,2.625,2.5,2.53125,2.53125,230400,HOLX
44,1990-05-03,2.59375,2.71875,2.53125,2.6875,2.6875,596000,HOLX
45,1990-05-04,2.71875,2.84375,2.6875,2.8125,2.8125,252800,HOLX
46,1990-05-07,2.90625,2.90625,2.84375,2.84375,2.84375,31200,HOLX
47,1990-05-08,2.8125,2.890625,2.71875,2.828125,2.828125,635200,HOLX
48,1990-05-09,2.90625,2.9375,2.8125,2.84375,2.84375,113600,HOLX
49,1990-05-10,2.875,2.875,2.78125,2.84375,2.84375,80800,HOLX
50,1990-05-11,2.84375,2.90625,2.84375,2.90625,2.90625,187200,HOLX
51,1990-05-14,2.96875,3.03125,2.90625,2.96875,2.96875,85600,HOLX
52,1990-05-15,3.0,3.03125,2.9375,2.9375,2.9375,54400,HOLX
53,1990-05-16,3.03125,3.03125,2.9375,3.03125,3.03125,123200,HOLX
54,1990-05-17,3.03125,3.125,3.0,3.09375,3.09375,192000,HOLX
55,1990-05-18,3.125,3.125,2.90625,2.96875,2.96875,234400,HOLX
56,1990-05-21,3.0,3.09375,3.0,3.09375,3.09375,103200,HOLX
