,date,open,high,low,close,adjclose,volume,ticker
0,1997-02-04,11.0,11.0,10.3125,10.5625,10.5625,26677600,KMX
1,1997-02-05,10.625,10.75,10.125,10.125,10.125,6762800,KMX
2,1997-02-06,10.1875,10.375,10.125,10.3125,10.3125,2238200,KMX
3,1997-02-07,10.25,10.3125,10.25,10.25,10.25,1405800,KMX
4,1997-02-10,10.25,10.625,10.25,10.5,10.5,1666800,KMX
5,1997-02-11,10.5,10.625,10.4375,10.5,10.5,1444200,KMX
6,1997-02-12,10.5,10.5625,10.3125,10.375,10.375,780000,KMX
7,1997-02-13,10.4375,10.4375,10.0,10.0,10.0,1518600,KMX
8,1997-02-14,10.0625,10.125,10.0,10.0,10.0,511600,KMX
9,1997-02-18,10.0625,10.0625,10.0,10.0625,10.0625,746000,KMX
10,1997-02-19,10.0,10.0625,10.0,10.0,10.0,1593000,KMX
11,1997-02-20,10.0,10.0625,10.0,10.0,10.0,614000,KMX
12,1997-02-21,10.0,10.0625,10.0,10.0,10.0,756400,KMX
13,1997-02-24,10.0,10.0625,10.0,10.0,10.0,244400,KMX
14,1997-02-25,10.0,10.0625,10.0,10.0,10.0,836800,KMX
15,1997-02-26,10.0,10.1875,10.0,10.125,10.125,2607200,KMX
16,1997-02-27,10.125,10.125,10.0,10.0,10.0,2115000,KMX
17,1997-02-28,10.0,10.0625,10.0,10.0625,10.0625,188400,KMX
18,1997-03-03,10.0625,10.0625,10.0,10.0,10.0,2307000,KMX
19,1997-03-04,10.0,10.0625,9.375,9.5,9.5,1624600,KMX
20,1997-03-05,9.5,9.625,9.4375,9.5625,9.5625,795800,KMX
21,1997-03-06,9.5625,9.6875,9.5625,9.6875,9.6875,1049000,KMX
22,1997-03-07,9.625,9.8125,9.5625,9.8125,9.8125,417000,KMX
23,1997-03-10,9.8125,10.0,9.75,9.8125,9.8125,567000,KMX
24,1997-03-11,9.8125,9.8125,9.5625,9.625,9.625,438800,KMX
25,1997-03-12,9.6875,9.6875,9.5,9.5,9.5,72200,KMX
26,1997-03-13,9.5,9.5,8.75,8.8125,8.8125,269200,KMX
27,1997-03-14,8.875,8.875,8.375,8.4375,8.4375,322200,KMX
28,1997-03-17,8.5,8.5,8.3125,8.4375,8.4375,445800,KMX
29,1997-03-18,8.4375,8.5,8.3125,8.3125,8.3125,397200,KMX
30,1997-03-19,8.3125,8.4375,8.25,8.25,8.25,215800,KMX
31,1997-03-20,8.25,8.4375,8.25,8.4375,8.4375,182600,KMX
32,1997-03-21,8.4375,8.4375,8.3125,8.3125,8.3125,65400,KMX
33,1997-03-24,8.25,8.25,7.6875,8.125,8.125,825200,KMX
34,1997-03-25,8.0625,8.0625,7.6875,7.75,7.75,499600,KMX
35,1997-03-26,7.6875,7.9375,7.6875,7.8125,7.8125,248200,KMX
36,1997-03-27,7.8125,7.8125,7.625,7.625,7.625,692000,KMX
37,1997-03-31,7.625,7.625,7.3125,7.5,7.5,745800,KMX
38,1997-04-01,7.5,7.5,7.1875,7.3125,7.3125,1067800,KMX
39,1997-04-02,7.3125,7.3125,7.1875,7.3125,7.3125,344000,KMX
40,1997-04-03,7.3125,7.4375,7.1875,7.4375,7.4375,1059000,KMX
41,1997-04-04,7.375,7.5,7.25,7.5,7.5,338000,KMX
42,1997-04-07,7.5625,8.5,7.5625,8.0,8.0,750800,KMX
43,1997-04-08,7.6875,7.8125,7.5625,7.625,7.625,201000,KMX
44,1997-04-09,7.6875,7.6875,7.59375,7.625,7.625,219400,KMX
45,1997-04-10,7.625,7.6875,7.5625,7.625,7.625,74600,KMX
46,1997-04-11,7.625,7.625,7.5,7.5,7.5,301000,KMX
47,1997-04-14,7.5,7.5,7.3125,7.5,7.5,577000,KMX
48,1997-04-15,7.5,7.5625,7.3125,7.375,7.375,290200,KMX
49,1997-04-16,7.375,7.4375,7.375,7.4375,7.4375,272000,KMX
50,1997-04-17,7.4375,7.5,7.375,7.5,7.5,432200,KMX
51,1997-04-18,7.5,7.5,7.25,7.25,7.25,337400,KMX
52,1997-04-21,7.1875,7.25,7.0,7.0625,7.0625,482600,KMX
53,1997-04-22,7.0,7.0625,6.9375,7.0,7.0,246000,KMX
54,1997-04-23,7.0625,7.25,7.0625,7.0625,7.0625,89000,KMX
55,1997-04-24,7.0,7.0625,6.9375,6.9375,6.9375,71800,KMX
56,1997-04-25,7.0,7.0,6.875,6.875,6.875,67600,KMX
57,1997-04-28,6.875,6.875,6.75,6.75,6.75,398200,KMX
58,1997-04-29,6.8125,7.0,6.75,7.0,7.0,154800,KMX
59,1997-04-30,7.0,7.75,7.0,7.5,7.5,191200,KMX
60,1997-05-01,7.5,7.5625,7.4375,7.5625,7.5625,95400,KMX
61,1997-05-02,7.5625,7.5625,7.375,7.375,7.375,134800,KMX
62,1997-05-05,7.4375,7.5,7.3125,7.5,7.5,140400,KMX
63,1997-05-06,7.5,7.6875,7.375,7.5,7.5,161400,KMX
64,1997-05-07,7.5625,8.0,7.5625,7.9375,7.9375,38800,KMX
65,1997-05-08,7.75,7.8125,7.625,7.625,7.625,135600,KMX
66,1997-05-09,7.625,7.875,7.625,7.8125,7.8125,88600,KMX
67,1997-05-12,7.8125,8.5625,7.8125,8.3125,8.3125,95400,KMX
68,1997-05-13,8.3125,8.3125,8.125,8.1875,8.1875,83200,KMX
69,1997-05-14,8.1875,8.1875,7.8125,7.8125,7.8125,163200,KMX
70,1997-05-15,7.8125,7.8125,7.6875,7.6875,7.6875,18200,KMX
71,1997-05-16,7.6875,7.6875,7.5625,7.5625,7.5625,77600,KMX
72,1997-05-19,7.5625,7.625,7.3125,7.375,7.375,69600,KMX
73,1997-05-20,7.3125,7.625,7.3125,7.375,7.375,201000,KMX
74,1997-05-21,7.375,7.4375,7.3125,7.4375,7.4375,108200,KMX
75,1997-05-22,7.4375,7.5,7.375,7.4375,7.4375,104000,KMX
76,1997-05-23,7.5,7.5,7.4375,7.5,7.5,13800,KMX
77,1997-05-27,7.5,7.5,7.4375,7.4375,7.4375,20400,KMX
78,1997-05-28,7.4375,7.4375,7.25,7.25,7.25,67000,KMX
79,1997-05-29,7.3125,7.375,7.25,7.3125,7.3125,79200,KMX
80,1997-05-30,7.1875,7.25,7.1875,7.25,7.25,56600,KMX
81,1997-06-02,7.25,7.375,7.25,7.375,7.375,54800,KMX
82,1997-06-03,7.4375,7.4375,7.25,7.3125,7.3125,140600,KMX
83,1997-06-04,7.3125,7.3125,7.1875,7.1875,7.1875,31400,KMX
84,1997-06-05,7.25,7.3125,7.1875,7.25,7.25,92800,KMX
85,1997-06-06,7.25,7.5,7.0625,7.5,7.5,262200,KMX
86,1997-06-09,7.3125,7.6875,7.3125,7.625,7.625,137400,KMX
87,1997-06-10,7.6875,7.6875,7.375,7.4375,7.4375,53800,KMX
88,1997-06-11,7.375,7.375,7.1875,7.25,7.25,58400,KMX
89,1997-06-12,7.25,7.3125,7.25,7.3125,7.3125,23600,KMX
90,1997-06-13,7.3125,7.3125,7.125,7.25,7.25,86200,KMX
91,1997-06-16,7.3125,7.375,6.9375,6.9375,6.9375,599800,KMX
92,1997-06-17,7.0,7.0625,6.9375,7.0,7.0,270200,KMX
93,1997-06-18,7.0,7.3125,6.9375,7.1875,7.1875,1090800,KMX
94,1997-06-19,7.25,7.4375,7.125,7.1875,7.1875,315000,KMX
