,date,open,high,low,close,adjclose,volume,ticker
0,1994-01-28,21.0,22.5,20.75,21.625,4.080423355102539,719200,MAA
1,1994-01-31,21.5,21.625,21.125,21.375,4.033249378204346,86900,MAA
2,1994-02-01,21.25,21.375,21.125,21.25,4.009665489196777,56900,MAA
3,1994-02-02,21.25,21.5,21.25,21.25,4.009665489196777,43600,MAA
4,1994-02-03,21.25,21.5,21.25,21.5,4.056835651397705,42900,MAA
5,1994-02-04,21.25,21.5,21.125,21.125,3.986074447631836,56500,MAA
6,1994-02-07,21.125,21.5,21.125,21.375,4.033249378204346,40900,MAA
7,1994-02-08,21.5,22.25,21.5,22.0,4.151181697845459,205400,MAA
8,1994-02-09,22.125,22.75,22.125,22.25,4.198353290557861,76900,MAA
9,1994-02-10,22.25,23.0,22.25,23.0,4.339873790740967,42500,MAA
10,1994-02-11,22.875,23.875,22.875,23.5,4.434216499328613,49400,MAA
11,1994-02-14,23.25,24.5,23.25,23.875,4.504974365234375,97400,MAA
12,1994-02-15,23.75,24.0,23.125,23.125,4.363458633422852,62100,MAA
13,1994-02-16,23.125,23.625,23.125,23.375,4.410632133483887,26700,MAA
14,1994-02-17,23.625,24.125,23.625,24.125,4.552148818969727,8900,MAA
15,1994-02-18,24.125,24.375,24.0,24.25,4.5757341384887695,27900,MAA
16,1994-02-22,24.0,24.125,23.75,23.75,4.48138952255249,25000,MAA
17,1994-02-23,24.0,24.0,23.25,23.375,4.410632133483887,48100,MAA
18,1994-02-24,23.25,23.875,23.0,23.25,4.3870439529418945,48500,MAA
19,1994-02-25,23.0,23.0,22.75,22.875,4.316287040710449,36000,MAA
20,1994-02-28,23.125,23.125,22.5,22.625,4.269113063812256,14500,MAA
21,1994-03-01,22.625,23.25,22.5,23.0,4.339873790740967,74900,MAA
22,1994-03-02,23.25,23.75,23.0,23.5,4.434216499328613,21700,MAA
23,1994-03-03,23.5,23.5,23.0,23.0,4.339873790740967,8600,MAA
24,1994-03-04,23.25,23.25,22.75,23.0,4.339873790740967,5000,MAA
25,1994-03-07,22.75,23.125,22.75,22.875,4.316287040710449,13200,MAA
26,1994-03-08,22.75,22.75,22.25,22.625,4.269113063812256,9800,MAA
27,1994-03-09,22.625,22.625,22.5,22.5,4.245528697967529,38700,MAA
28,1994-03-10,22.375,22.5,22.25,22.5,4.245528697967529,28800,MAA
29,1994-03-11,22.125,22.125,22.0,22.0,4.151181697845459,5800,MAA
30,1994-03-14,22.0,23.75,22.0,23.25,4.3870439529418945,59900,MAA
31,1994-03-15,23.5,23.5,22.875,22.875,4.316287040710449,4400,MAA
32,1994-03-16,23.0,23.5,23.0,23.375,4.410632133483887,10800,MAA
33,1994-03-17,23.25,23.5,23.25,23.5,4.434216499328613,18900,MAA
34,1994-03-18,23.625,23.625,23.25,23.25,4.3870439529418945,7400,MAA
35,1994-03-21,23.25,23.25,23.125,23.25,4.3870439529418945,4100,MAA
36,1994-03-22,23.125,23.625,23.125,23.25,4.3870439529418945,33600,MAA
37,1994-03-23,23.375,23.5,23.25,23.375,4.410632133483887,1900,MAA
38,1994-03-24,23.5,24.0,23.5,24.0,4.528559684753418,18400,MAA
39,1994-03-25,23.75,24.0,23.75,23.75,4.48138952255249,5300,MAA
40,1994-03-28,23.625,23.625,23.25,23.5,4.434216499328613,11500,MAA
41,1994-03-29,23.875,23.875,23.25,23.25,4.3870439529418945,4200,MAA
42,1994-03-30,23.125,23.125,23.0,23.125,4.363458633422852,20600,MAA
43,1994-03-31,23.0,23.125,23.0,23.125,4.363458633422852,14200,MAA
44,1994-04-04,23.0,23.125,22.75,22.75,4.292697906494141,29900,MAA
45,1994-04-05,23.0,23.125,22.75,23.125,4.363458633422852,1500,MAA
46,1994-04-06,23.125,23.125,23.0,23.125,4.363458633422852,5100,MAA
47,1994-04-07,23.25,23.5,23.25,23.375,4.410632133483887,3800,MAA
48,1994-04-08,23.5,23.5,23.125,23.375,4.410632133483887,9900,MAA
49,1994-04-11,23.375,23.5,23.375,23.5,4.434216499328613,900,MAA
50,1994-04-12,23.25,23.25,23.25,23.25,4.3870439529418945,1600,MAA
51,1994-04-13,23.5,23.5,23.25,23.25,4.3870439529418945,7100,MAA
52,1994-04-14,23.375,23.375,23.25,23.375,4.410632133483887,1300,MAA
53,1994-04-15,23.375,23.75,23.25,23.75,4.48138952255249,10800,MAA
