,date,open,high,low,close,adjclose,volume,ticker
0,1994-02-17,25.5,25.875,24.5,24.625,16.56958770751953,4478600,MLM
1,1994-02-18,24.75,25.0,24.25,24.625,16.56958770751953,777900,MLM
2,1994-02-22,24.25,24.5,24.0,24.375,16.40137481689453,361900,MLM
3,1994-02-23,24.375,24.5,23.25,23.25,15.644377708435059,284500,MLM
4,1994-02-24,23.125,23.25,22.75,23.0,15.47616195678711,494600,MLM
5,1994-02-25,23.0,23.875,23.0,23.75,15.980822563171387,102000,MLM
6,1994-02-28,23.875,24.0,23.75,23.875,16.064922332763672,115200,MLM
7,1994-03-01,23.75,24.0,23.125,23.25,15.644377708435059,246600,MLM
8,1994-03-02,22.75,22.875,22.625,22.75,15.307945251464844,355900,MLM
9,1994-03-03,22.75,23.0,22.75,22.875,15.392049789428711,51500,MLM
10,1994-03-04,23.0,23.375,22.75,23.125,15.560271263122559,145500,MLM
11,1994-03-07,23.125,23.25,23.0,23.0,15.47616195678711,102200,MLM
12,1994-03-08,23.0,23.125,22.875,23.0,15.47616195678711,34700,MLM
13,1994-03-09,23.125,23.125,22.875,22.875,15.392049789428711,101100,MLM
14,1994-03-10,22.875,23.0,22.125,22.25,14.971513748168945,220400,MLM
15,1994-03-11,22.125,22.375,22.0,22.375,15.05561637878418,42100,MLM
16,1994-03-14,22.25,22.5,22.125,22.25,14.971513748168945,11900,MLM
17,1994-03-15,22.75,23.0,22.5,22.75,15.307945251464844,128500,MLM
18,1994-03-16,22.75,22.875,22.5,22.75,15.307945251464844,93800,MLM
19,1994-03-17,22.875,22.875,22.5,22.625,15.223836898803711,43700,MLM
20,1994-03-18,22.5,22.875,22.5,22.875,15.392049789428711,125000,MLM
21,1994-03-21,22.75,23.125,22.75,23.125,15.560271263122559,81100,MLM
22,1994-03-22,23.0,23.625,23.0,23.5,15.812599182128906,91800,MLM
23,1994-03-23,24.25,24.875,24.25,24.25,16.317264556884766,332700,MLM
24,1994-03-24,24.375,24.375,24.0,24.0,16.149045944213867,113300,MLM
25,1994-03-25,24.0,24.25,24.0,24.0,16.149045944213867,54700,MLM
26,1994-03-28,24.25,24.25,23.75,24.0,16.149045944213867,67900,MLM
27,1994-03-29,23.875,24.0,22.5,22.5,15.139731407165527,174400,MLM
28,1994-03-30,22.25,22.25,22.0,22.125,14.88740062713623,198000,MLM
29,1994-03-31,22.25,22.375,21.5,22.0,14.803281784057617,201000,MLM
30,1994-04-04,21.625,21.625,21.0,21.5,14.466853141784668,206600,MLM
31,1994-04-05,21.5,22.75,21.5,22.75,15.307945251464844,40500,MLM
32,1994-04-06,22.75,22.875,22.5,22.875,15.392049789428711,31700,MLM
33,1994-04-07,22.875,22.875,22.625,22.875,15.392049789428711,14500,MLM
34,1994-04-08,22.875,22.875,22.125,22.5,15.139731407165527,29900,MLM
35,1994-04-11,22.75,22.75,22.25,22.625,15.223836898803711,28900,MLM
36,1994-04-12,22.5,22.5,22.0,22.125,14.88740062713623,56200,MLM
37,1994-04-13,22.25,22.375,21.25,21.75,14.635066032409668,48100,MLM
38,1994-04-14,21.5,21.5,21.25,21.375,14.382747650146484,81800,MLM
39,1994-04-15,21.375,21.375,21.25,21.375,14.382747650146484,23400,MLM
40,1994-04-18,21.375,21.375,20.5,20.5,13.793973922729492,119100,MLM
41,1994-04-19,20.5,20.5,20.0,20.125,13.541645050048828,23100,MLM
42,1994-04-20,20.125,20.125,19.5,19.75,13.289308547973633,72900,MLM
43,1994-04-21,19.625,19.875,19.5,19.75,13.289308547973633,67100,MLM
44,1994-04-22,19.5,19.75,19.5,19.75,13.289308547973633,8000,MLM
45,1994-04-25,19.5,19.625,18.25,19.625,13.205208778381348,130900,MLM
46,1994-04-26,19.625,21.0,19.625,20.75,13.96219539642334,172800,MLM
47,1994-04-28,21.0,21.125,20.75,20.875,14.046299934387207,73900,MLM
48,1994-04-29,21.0,23.0,21.0,23.0,15.47616195678711,166100,MLM
49,1994-05-02,22.75,23.75,22.625,23.75,15.980822563171387,87800,MLM
50,1994-05-03,23.5,23.75,23.25,23.375,15.728494644165039,55000,MLM
51,1994-05-04,23.5,24.0,23.375,23.5,15.812599182128906,81500,MLM
52,1994-05-05,23.25,23.5,23.25,23.375,15.728494644165039,14200,MLM
