,date,open,high,low,close,adjclose,volume,ticker
0,1993-02-23,8.0,8.125,7.65625,7.75,3.770714044570923,40594800,MS
1,1993-02-24,7.875,8.0625,7.78125,7.96875,3.877146005630493,9426400,MS
2,1993-02-25,8.0,8.15625,7.96875,8.15625,3.968374490737915,5229200,MS
3,1993-02-26,8.15625,8.28125,8.03125,8.28125,4.029189109802246,2761200,MS
4,1993-03-01,8.1875,8.21875,8.0,8.0,3.8923490047454834,3014400,MS
5,1993-03-02,8.0625,8.25,8.03125,8.21875,3.9987831115722656,3022800,MS
6,1993-03-03,8.1875,8.3125,8.125,8.1875,3.9835779666900635,2808800,MS
7,1993-03-04,8.15625,8.25,8.15625,8.15625,3.968374490737915,1783600,MS
8,1993-03-05,8.125,8.34375,8.0,8.3125,4.0443949699401855,3868800,MS
9,1993-03-08,8.25,8.3125,8.1875,8.28125,4.029189109802246,2516000,MS
10,1993-03-09,8.25,8.625,8.25,8.53125,4.150826930999756,2449200,MS
11,1993-03-10,8.46875,8.90625,8.4375,8.875,4.318075656890869,3192800,MS
12,1993-03-11,8.96875,8.96875,8.78125,8.875,4.318075656890869,1276400,MS
13,1993-03-12,8.8125,9.0625,8.5,9.03125,4.394098281860352,2958800,MS
14,1993-03-15,9.0,9.0,8.8125,8.875,4.318075656890869,1858400,MS
15,1993-03-16,8.8125,8.90625,8.65625,8.6875,4.226847171783447,2182000,MS
16,1993-03-17,8.6875,8.78125,8.59375,8.78125,4.272463321685791,2413600,MS
17,1993-03-18,8.75,9.03125,8.75,9.0,4.378893852233887,1765200,MS
18,1993-03-19,9.0625,9.0625,8.90625,8.90625,4.333280563354492,2397600,MS
19,1993-03-22,8.9375,8.9375,8.78125,8.875,4.318075656890869,729200,MS
20,1993-03-23,8.875,8.875,8.6875,8.6875,4.226847171783447,924000,MS
21,1993-03-24,8.6875,8.6875,8.34375,8.59375,4.1812334060668945,1787600,MS
22,1993-03-25,8.53125,8.59375,8.40625,8.59375,4.1812334060668945,1080400,MS
23,1993-03-26,8.875,9.15625,8.84375,9.15625,4.454916477203369,2376800,MS
24,1993-03-29,9.09375,9.25,8.9375,9.25,4.500531196594238,1273600,MS
25,1993-03-30,9.375,9.59375,9.28125,9.59375,4.667778968811035,1463600,MS
26,1993-03-31,9.625,9.8125,9.5625,9.59375,4.667778968811035,1856000,MS
27,1993-04-01,9.46875,9.5,9.1875,9.25,4.500531196594238,1410000,MS
28,1993-04-02,9.125,9.28125,8.90625,8.90625,4.333280563354492,1338800,MS
29,1993-04-05,8.875,9.09375,8.875,9.0625,4.409304141998291,873200,MS
30,1993-04-06,9.09375,9.125,8.9375,8.9375,4.348484039306641,763200,MS
31,1993-04-07,8.90625,9.09375,8.90625,9.0625,4.409304141998291,240400,MS
32,1993-04-08,9.0625,9.0625,9.0,9.03125,4.394098281860352,304000,MS
33,1993-04-12,9.03125,9.25,9.03125,9.25,4.500531196594238,217600,MS
34,1993-04-13,9.375,9.59375,9.375,9.53125,4.637368679046631,937600,MS
35,1993-04-14,9.53125,9.8125,9.53125,9.78125,4.759006977081299,689600,MS
36,1993-04-15,9.65625,9.65625,9.25,9.375,4.561349868774414,1319600,MS
37,1993-04-16,9.4375,9.5,9.3125,9.34375,4.546144485473633,1452400,MS
38,1993-04-19,9.28125,9.34375,9.09375,9.125,4.439709663391113,861600,MS
39,1993-04-20,9.21875,9.28125,8.65625,8.84375,4.302872657775879,2764000,MS
40,1993-04-21,8.84375,8.96875,8.71875,8.71875,4.242053031921387,1372800,MS
41,1993-04-22,8.71875,8.875,8.6875,8.71875,4.242053031921387,1387600,MS
42,1993-04-23,8.6875,8.71875,8.5,8.59375,4.1812334060668945,660400,MS
43,1993-04-26,8.625,8.6875,8.3125,8.40625,4.090008735656738,1847200,MS
44,1993-04-27,8.3125,8.5,8.15625,8.5,4.135622501373291,1674000,MS
45,1993-04-28,8.5625,8.6875,8.46875,8.65625,4.211644172668457,726800,MS
46,1993-04-29,8.65625,8.71875,8.625,8.625,4.196438312530518,228800,MS
47,1993-04-30,8.65625,9.75,8.65625,9.6875,4.713392734527588,3105600,MS
48,1993-05-03,9.5,9.5,9.125,9.1875,4.470119476318359,2001200,MS
49,1993-05-04,9.25,9.3125,9.15625,9.25,4.500531196594238,826000,MS
50,1993-05-05,9.21875,9.21875,9.125,9.15625,4.454916477203369,512000,MS
51,1993-05-06,9.15625,9.15625,9.0,9.09375,4.424507141113281,183200,MS
52,1993-05-07,9.125,9.1875,9.09375,9.125,4.439709663391113,245200,MS
53,1993-05-10,9.15625,9.3125,9.15625,9.25,4.500531196594238,708800,MS
54,1993-05-11,9.25,9.25,9.125,9.21875,4.485324382781982,568800,MS
55,1993-05-12,9.21875,9.28125,9.15625,9.21875,4.485324382781982,258000,MS
56,1993-05-13,9.15625,9.15625,9.0,9.0,4.378893852233887,163200,MS
57,1993-05-14,8.96875,8.96875,8.59375,8.75,4.257258415222168,848000,MS
58,1993-05-17,8.75,8.96875,8.71875,8.90625,4.333280563354492,382000,MS
59,1993-05-18,8.875,8.875,8.71875,8.8125,4.2876667976379395,883600,MS
60,1993-05-19,8.78125,8.96875,8.78125,8.90625,4.333280563354492,514800,MS
61,1993-05-20,8.96875,8.96875,8.6875,8.75,4.257258415222168,936800,MS
62,1993-05-21,8.6875,8.6875,8.46875,8.5,4.135622501373291,834000,MS
63,1993-05-24,8.46875,8.65625,8.4375,8.65625,4.211644172668457,262400,MS
