,date,open,high,low,close,adjclose,volume,ticker
0,1980-03-17,0.0,1.578125,1.53125,1.53125,0.6206814646720886,25600,OMC
1,1980-03-18,0.0,1.578125,1.53125,1.53125,0.6206814646720886,81600,OMC
2,1980-03-19,0.0,1.59375,1.546875,1.546875,0.6270151138305664,40000,OMC
3,1980-03-20,0.0,1.578125,1.53125,1.53125,0.6206814646720886,11200,OMC
4,1980-03-21,0.0,1.5625,1.515625,1.515625,0.6143478155136108,19200,OMC
5,1980-03-24,0.0,1.53125,1.484375,1.484375,0.6016806364059448,112000,OMC
6,1980-03-25,0.0,1.515625,1.46875,1.46875,0.5953474640846252,49600,OMC
7,1980-03-26,0.0,1.53125,1.484375,1.484375,0.6016806364059448,17600,OMC
8,1980-03-27,0.0,1.515625,1.46875,1.46875,0.5953474640846252,78400,OMC
9,1980-03-28,0.0,1.515625,1.46875,1.46875,0.5953474640846252,16000,OMC
10,1980-03-31,0.0,1.453125,1.40625,1.40625,0.5700137615203857,128000,OMC
11,1980-04-01,0.0,1.4375,1.390625,1.390625,0.5636796951293945,54400,OMC
12,1980-04-02,0.0,1.453125,1.40625,1.40625,0.5700137615203857,20800,OMC
13,1980-04-03,0.0,1.4375,1.390625,1.390625,0.5636796951293945,8000,OMC
14,1980-04-07,0.0,1.421875,1.375,1.375,0.5573465824127197,43200,OMC
15,1980-04-08,0.0,1.421875,1.375,1.375,0.5573465824127197,62400,OMC
16,1980-04-09,0.0,1.4375,1.390625,1.390625,0.5636796951293945,33600,OMC
17,1980-04-10,0.0,1.46875,1.421875,1.421875,0.5763469338417053,24000,OMC
18,1980-04-11,0.0,1.484375,1.4375,1.4375,0.5826805830001831,33600,OMC
19,1980-04-14,0.0,1.46875,1.421875,1.421875,0.5763469338417053,32000,OMC
20,1980-04-15,0.0,1.46875,1.421875,1.421875,0.5763469338417053,33600,OMC
21,1980-04-16,0.0,1.46875,1.421875,1.421875,0.5763469338417053,76800,OMC
22,1980-04-17,0.0,1.46875,1.421875,1.421875,0.5763469338417053,8000,OMC
23,1980-04-18,0.0,1.515625,1.46875,1.46875,0.5953474640846252,52800,OMC
24,1980-04-21,0.0,1.46875,1.421875,1.421875,0.5763469338417053,70400,OMC
25,1980-04-22,0.0,1.515625,1.46875,1.46875,0.5953474640846252,83200,OMC
26,1980-04-23,0.0,1.515625,1.46875,1.46875,0.5953474640846252,19200,OMC
27,1980-04-24,0.0,1.515625,1.46875,1.46875,0.5953474640846252,3200,OMC
28,1980-04-25,0.0,1.5,1.453125,1.453125,0.5890139937400818,17600,OMC
29,1980-04-28,0.0,1.515625,1.46875,1.46875,0.5953474640846252,56000,OMC
30,1980-04-29,0.0,1.5625,1.515625,1.515625,0.6143478155136108,64000,OMC
31,1980-04-30,0.0,1.5625,1.515625,1.515625,0.6143478155136108,4800,OMC
32,1980-05-01,0.0,1.5625,1.515625,1.515625,0.6143478155136108,108800,OMC
33,1980-05-02,0.0,1.5625,1.515625,1.515625,0.6143478155136108,17600,OMC
34,1980-05-05,0.0,1.5625,1.515625,1.515625,0.6143478155136108,48000,OMC
35,1980-05-06,0.0,1.5625,1.515625,1.515625,0.6143478155136108,14400,OMC
36,1980-05-07,0.0,1.546875,1.5,1.5,0.6080142259597778,32000,OMC
37,1980-05-08,0.0,1.53125,1.484375,1.484375,0.6016806364059448,102400,OMC
38,1980-05-09,0.0,1.515625,1.46875,1.46875,0.5953474640846252,62400,OMC
39,1980-05-12,0.0,1.5,1.453125,1.453125,0.5890139937400818,17600,OMC
40,1980-05-13,0.0,1.5,1.453125,1.453125,0.5890139937400818,8000,OMC
41,1980-05-14,0.0,1.5,1.453125,1.453125,0.5890139937400818,20800,OMC
42,1980-05-15,0.0,1.546875,1.5,1.5,0.6080142259597778,140800,OMC
43,1980-05-16,0.0,1.546875,1.5,1.5,0.6080142259597778,116800,OMC
44,1980-05-19,0.0,1.5625,1.515625,1.515625,0.6143478155136108,44800,OMC
45,1980-05-20,0.0,1.546875,1.5,1.5,0.6080142259597778,134400,OMC
46,1980-05-21,0.0,1.578125,1.53125,1.53125,0.6206814646720886,76800,OMC
47,1980-05-22,0.0,1.578125,1.53125,1.53125,0.6206814646720886,49600,OMC
48,1980-05-23,0.0,1.59375,1.546875,1.546875,0.6270151138305664,38400,OMC
49,1980-05-27,0.0,1.59375,1.546875,1.546875,0.6270151138305664,12800,OMC
50,1980-05-28,0.0,1.65625,1.609375,1.609375,0.6523489356040955,83200,OMC
51,1980-05-29,0.0,1.625,1.578125,1.578125,0.6396822333335876,57600,OMC
52,1980-05-30,0.0,1.625,1.578125,1.578125,0.6396822333335876,24000,OMC
53,1980-06-02,0.0,1.625,1.578125,1.578125,0.6396822333335876,22400,OMC
54,1980-06-03,0.0,1.609375,1.5625,1.5625,0.6333483457565308,22400,OMC
55,1980-06-04,0.0,1.609375,1.5625,1.5625,0.6333483457565308,30400,OMC
56,1980-06-05,0.0,1.609375,1.5625,1.5625,0.6333483457565308,57600,OMC
