,date,open,high,low,close,adjclose,volume,ticker
0,2000-01-28,12.0,12.1875,12.0,12.0,6.245066165924072,11192000,PKG
1,2000-01-31,12.0,12.0625,12.0,12.0625,6.277592182159424,1880900,PKG
2,2000-02-01,12.0,12.0625,12.0,12.0,6.245066165924072,367100,PKG
3,2000-02-02,12.0,12.0625,12.0,12.0625,6.277592182159424,697400,PKG
4,2000-02-03,12.0,12.0625,12.0,12.0,6.245066165924072,579800,PKG
5,2000-02-04,12.0,12.0625,11.25,11.375,5.919803619384766,1681900,PKG
6,2000-02-07,11.125,11.125,10.5,10.8125,5.627066612243652,927200,PKG
7,2000-02-08,10.75,10.875,9.75,9.875,5.139169692993164,795400,PKG
8,2000-02-09,9.875,10.25,9.75,10.125,5.269275665283203,1710100,PKG
9,2000-02-10,10.5,11.25,10.4375,10.625,5.529487133026123,571500,PKG
10,2000-02-11,10.75,10.9375,10.0,10.0625,5.236747741699219,1062000,PKG
11,2000-02-14,10.1875,10.3125,9.75,9.8125,5.106643199920654,289000,PKG
12,2000-02-15,10.0,10.625,9.9375,10.4375,5.431908130645752,541400,PKG
13,2000-02-16,10.5625,10.625,10.25,10.5625,5.4969587326049805,360700,PKG
14,2000-02-17,10.875,10.875,10.25,10.375,5.399380207061768,291600,PKG
15,2000-02-18,10.5,10.75,10.3125,10.5,5.46443510055542,330700,PKG
16,2000-02-22,10.25,10.625,9.875,10.3125,5.366855621337891,314500,PKG
17,2000-02-23,9.9375,10.3125,9.8125,10.125,5.269275665283203,494300,PKG
18,2000-02-24,10.125,10.3125,9.875,9.9375,5.17169713973999,919900,PKG
19,2000-02-25,10.3125,10.625,10.0,10.4375,5.431908130645752,1095500,PKG
20,2000-02-28,10.25,10.3125,10.0,10.125,5.269275665283203,366800,PKG
21,2000-02-29,10.125,11.25,10.0,10.875,5.659590244293213,1652500,PKG
22,2000-03-01,10.875,11.25,10.875,11.0,5.724643230438232,266700,PKG
23,2000-03-02,10.875,11.9375,10.8125,11.5,5.98485803604126,890300,PKG
24,2000-03-03,11.5,11.5,10.875,10.9375,5.692118167877197,160300,PKG
25,2000-03-06,10.5,10.8125,10.375,10.75,5.594539165496826,242800,PKG
26,2000-03-07,10.625,10.75,10.0625,10.25,5.334329605102539,393500,PKG
27,2000-03-08,10.1875,10.5,9.875,10.375,5.399380207061768,424200,PKG
28,2000-03-09,10.3125,10.8125,10.25,10.5,5.46443510055542,310100,PKG
29,2000-03-10,10.5,10.5,10.0,10.25,5.334329605102539,168900,PKG
30,2000-03-13,10.0,10.125,9.5625,9.75,5.0741167068481445,1767400,PKG
31,2000-03-14,9.75,10.125,9.75,9.875,5.139169692993164,660500,PKG
32,2000-03-15,9.875,9.875,9.25,9.625,5.009062767028809,1231100,PKG
33,2000-03-16,9.8125,10.25,9.5,9.75,5.0741167068481445,404100,PKG
34,2000-03-17,9.75,9.9375,9.25,9.5625,4.976537704467773,814800,PKG
35,2000-03-20,9.6875,9.875,9.5,9.625,5.009062767028809,473200,PKG
36,2000-03-21,9.5625,9.8125,9.5,9.625,5.009062767028809,176200,PKG
37,2000-03-22,9.625,9.75,9.5,9.5625,4.976537704467773,430300,PKG
38,2000-03-23,9.5,9.8125,9.5,9.6875,5.041593074798584,477400,PKG
39,2000-03-24,9.5625,9.875,9.5625,9.75,5.0741167068481445,236700,PKG
40,2000-03-27,9.75,10.0,9.75,9.875,5.139169692993164,67600,PKG
41,2000-03-28,9.875,10.0,9.75,9.8125,5.106643199920654,157900,PKG
42,2000-03-29,9.8125,9.9375,9.8125,9.8125,5.106643199920654,253000,PKG
43,2000-03-30,9.8125,10.125,9.8125,9.8125,5.106643199920654,235200,PKG
44,2000-03-31,9.8125,10.5,9.75,10.5,5.46443510055542,627300,PKG
45,2000-04-03,10.375,10.375,10.0625,10.3125,5.366855621337891,108400,PKG
46,2000-04-04,10.375,10.375,10.0,10.0625,5.236747741699219,411000,PKG
47,2000-04-05,9.9375,10.375,9.875,10.25,5.334329605102539,196100,PKG
48,2000-04-06,10.25,11.125,10.125,10.8125,5.627066612243652,296700,PKG
