,date,open,high,low,close,adjclose,volume,ticker
0,1980-11-18,14.125,14.5,14.125,14.125,2.491833209991455,3200,PSA
1,1980-11-19,14.25,14.625,14.25,14.25,2.513885021209717,8000,PSA
2,1980-11-20,14.25,14.25,14.125,14.125,2.491833209991455,16600,PSA
3,1980-11-21,14.625,14.875,14.625,14.625,2.58004093170166,18700,PSA
4,1980-11-24,14.5,14.5,14.125,14.125,2.491833209991455,40900,PSA
5,1980-11-25,13.75,13.75,13.5,13.5,2.381575584411621,25800,PSA
6,1980-11-26,14.125,14.5,14.125,14.125,2.491833209991455,75000,PSA
7,1980-11-28,14.375,14.5,14.375,14.375,2.535936117172241,19300,PSA
8,1980-12-01,14.375,14.375,14.0,14.0,2.469782829284668,26200,PSA
9,1980-12-02,13.5,13.5,13.0,13.0,2.293370008468628,20000,PSA
10,1980-12-03,13.125,13.5,13.125,13.125,2.315420627593994,10500,PSA
11,1980-12-04,13.125,13.25,12.75,12.75,2.249265670776367,13700,PSA
12,1980-12-05,12.75,13.25,12.75,12.75,2.249265670776367,11000,PSA
13,1980-12-08,12.25,12.25,11.75,11.75,2.0728530883789062,8700,PSA
14,1980-12-09,11.75,12.5,11.75,11.75,2.0728530883789062,38700,PSA
15,1980-12-10,12.75,13.5,12.75,12.75,2.249265670776367,10800,PSA
16,1980-12-11,12.75,13.25,12.5,12.5,2.20516300201416,10800,PSA
17,1980-12-12,12.75,13.25,12.75,12.75,2.249265670776367,4500,PSA
18,1980-12-15,12.75,12.75,12.0,12.0,2.116955518722534,8000,PSA
19,1980-12-16,12.0,12.5,12.0,12.0,2.116955518722534,7500,PSA
20,1980-12-17,12.0,12.5,12.0,12.0,2.116955518722534,7000,PSA
21,1980-12-18,12.0,12.5,11.75,11.75,2.0728530883789062,10600,PSA
22,1980-12-19,12.0,12.5,12.0,12.0,2.116955518722534,18700,PSA
23,1980-12-22,12.25,12.75,12.25,12.25,2.1610593795776367,16800,PSA
24,1980-12-23,12.25,12.5,12.25,12.25,2.1610593795776367,8600,PSA
25,1980-12-24,12.25,12.75,12.25,12.25,2.1610593795776367,9200,PSA
26,1980-12-26,12.5,13.0,12.5,12.5,2.20516300201416,3900,PSA
27,1980-12-29,12.5,13.0,12.5,12.5,2.20516300201416,4400,PSA
28,1980-12-30,12.5,13.0,12.5,12.5,2.20516300201416,13400,PSA
29,1980-12-31,12.5,12.75,12.25,12.25,2.1610593795776367,7800,PSA
30,1981-01-02,12.75,13.0,12.75,12.75,2.249265670776367,8000,PSA
31,1981-01-05,13.0,13.5,13.0,13.0,2.293370008468628,9400,PSA
32,1981-01-06,13.0,13.5,13.0,13.0,2.293370008468628,10200,PSA
33,1981-01-07,13.0,13.0,12.25,12.25,2.1610593795776367,17100,PSA
34,1981-01-08,12.5,13.0,12.5,12.5,2.20516300201416,7800,PSA
35,1981-01-09,13.0,13.5,13.0,13.0,2.293370008468628,5600,PSA
36,1981-01-12,13.0,13.5,13.0,13.0,2.293370008468628,11400,PSA
37,1981-01-13,13.5,14.0,13.5,13.5,2.381575584411621,5000,PSA
38,1981-01-14,13.75,14.25,13.75,13.75,2.4256770610809326,7100,PSA
39,1981-01-15,13.75,14.25,13.75,13.75,2.4256770610809326,3300,PSA
40,1981-01-16,13.75,14.25,13.75,13.75,2.4256770610809326,6800,PSA
41,1981-01-19,13.75,14.25,13.75,13.75,2.4256770610809326,7600,PSA
42,1981-01-20,13.75,14.25,13.5,13.5,2.381575584411621,6800,PSA
