,date,open,high,low,close,adjclose,volume,ticker
0,1995-10-03,18.75,19.875,18.5,19.625,12.971025466918945,10364800,RE
1,1995-10-04,19.5,19.625,18.75,18.75,12.392692565917969,1810800,RE
2,1995-10-05,19.125,19.5,19.0,19.375,12.805792808532715,1216500,RE
3,1995-10-06,19.625,19.875,19.375,19.875,13.13625717163086,1538100,RE
4,1995-10-09,19.875,19.875,19.375,19.375,12.805792808532715,869200,RE
5,1995-10-10,19.375,19.5,19.0,19.25,12.723169326782227,840800,RE
6,1995-10-11,19.375,19.5,19.25,19.375,12.805792808532715,630400,RE
7,1995-10-12,19.375,19.5,19.125,19.375,12.805792808532715,519700,RE
8,1995-10-13,19.5,20.0,19.5,20.0,13.218879699707031,557300,RE
9,1995-10-16,20.125,20.125,19.625,19.75,13.053645133972168,188700,RE
10,1995-10-17,19.75,19.875,19.625,19.75,13.053645133972168,244600,RE
11,1995-10-18,19.625,19.75,19.5,19.625,12.971025466918945,152500,RE
12,1995-10-19,19.5,19.625,19.5,19.625,12.971025466918945,180400,RE
13,1995-10-20,19.625,19.75,19.375,19.5,12.888408660888672,298900,RE
14,1995-10-23,19.25,19.375,19.125,19.25,12.723169326782227,731100,RE
15,1995-10-24,19.375,19.375,19.0,19.0,12.557931900024414,670500,RE
16,1995-10-25,19.125,19.25,19.0,19.0,12.557931900024414,749900,RE
17,1995-10-26,19.125,19.125,19.0,19.0,12.557931900024414,810900,RE
18,1995-10-27,19.0,19.25,19.0,19.25,12.723169326782227,460500,RE
19,1995-10-30,19.375,19.375,19.25,19.25,12.723169326782227,76200,RE
20,1995-10-31,20.75,20.75,19.875,20.375,13.46672534942627,2034100,RE
21,1995-11-01,20.25,20.5,20.0,20.375,13.46672534942627,398600,RE
22,1995-11-02,20.375,20.5,20.375,20.5,13.549346923828125,221200,RE
23,1995-11-03,20.5,20.875,20.375,20.75,13.714583396911621,306800,RE
24,1995-11-06,20.625,21.25,20.625,20.625,13.631962776184082,137200,RE
25,1995-11-07,20.625,20.625,20.375,20.625,13.631962776184082,566300,RE
26,1995-11-08,20.5,20.875,20.5,20.75,13.714583396911621,264700,RE
27,1995-11-09,20.625,20.75,20.625,20.75,13.714583396911621,70700,RE
28,1995-11-10,20.625,20.625,20.375,20.375,13.46672534942627,190500,RE
29,1995-11-13,20.375,20.625,20.375,20.5,13.549346923828125,135900,RE
30,1995-11-14,20.625,20.75,20.5,20.625,13.631962776184082,206900,RE
31,1995-11-15,20.5,20.625,20.25,20.5,13.549346923828125,615500,RE
32,1995-11-16,20.75,21.0,20.375,20.375,13.486461639404297,381400,RE
33,1995-11-17,20.5,20.875,20.375,20.625,13.651941299438477,178000,RE
34,1995-11-20,20.75,21.375,20.5,20.5,13.569204330444336,377000,RE
35,1995-11-21,20.625,20.75,20.5,20.75,13.7346830368042,391400,RE
36,1995-11-22,20.5,20.875,20.5,20.875,13.817423820495605,92600,RE
37,1995-11-24,20.875,20.875,20.75,20.875,13.817423820495605,7900,RE
38,1995-11-27,20.75,21.125,20.625,20.75,13.7346830368042,455000,RE
39,1995-11-28,21.0,21.0,20.75,20.75,13.7346830368042,130200,RE
40,1995-11-29,20.75,20.875,20.75,20.75,13.7346830368042,59500,RE
41,1995-11-30,20.625,21.0,20.625,20.875,13.817423820495605,180100,RE
42,1995-12-01,21.0,21.25,20.875,21.25,14.06563949584961,94400,RE
43,1995-12-04,21.25,21.25,21.0,21.0,13.90015983581543,228600,RE
44,1995-12-05,21.0,21.125,20.875,21.125,13.98289966583252,251400,RE
45,1995-12-06,21.25,21.25,21.0,21.0,13.90015983581543,109900,RE
46,1995-12-07,21.25,21.625,21.25,21.375,14.148372650146484,171800,RE
47,1995-12-08,21.125,21.375,21.0,21.25,14.06563949584961,224000,RE
48,1995-12-11,21.25,21.75,21.25,21.5,14.231118202209473,123800,RE
49,1995-12-12,21.5,21.625,21.25,21.5,14.231118202209473,192100,RE
50,1995-12-13,21.5,21.875,21.375,21.625,14.313860893249512,81800,RE
51,1995-12-14,21.875,22.375,21.875,21.875,14.479336738586426,251200,RE
52,1995-12-15,22.0,22.5,22.0,22.25,14.727548599243164,220800,RE
53,1995-12-18,22.125,22.125,21.875,22.125,14.644818305969238,320900,RE
54,1995-12-19,22.0,23.0,21.875,23.0,15.223983764648438,361400,RE
55,1995-12-20,23.25,23.375,22.375,22.375,14.810281753540039,168300,RE
56,1995-12-21,22.375,23.0,22.375,22.875,15.14123821258545,90300,RE
57,1995-12-22,23.0,23.0,22.625,22.875,15.14123821258545,104500,RE
58,1995-12-26,22.625,23.0,22.625,23.0,15.223983764648438,109100,RE
59,1995-12-27,23.0,23.0,22.75,22.875,15.14123821258545,108400,RE
60,1995-12-28,23.0,23.0,22.625,22.625,14.975769996643066,74100,RE
61,1995-12-29,22.625,23.5,22.625,23.375,15.472196578979492,230800,RE
62,1996-01-02,23.25,23.25,22.25,22.875,15.14123821258545,237100,RE
63,1996-01-03,22.75,22.875,22.5,22.75,15.058512687683105,249500,RE
64,1996-01-04,22.5,22.5,22.0,22.25,14.727548599243164,276800,RE
65,1996-01-05,22.25,22.5,22.25,22.5,14.893031120300293,171100,RE
66,1996-01-08,22.5,22.5,22.25,22.375,14.810281753540039,62200,RE
67,1996-01-09,22.5,22.5,22.0,22.375,14.810281753540039,65300,RE
68,1996-01-10,22.25,22.625,22.125,22.375,14.810281753540039,535400,RE
69,1996-01-11,22.375,22.375,22.0,22.25,14.727548599243164,83400,RE
70,1996-01-12,22.25,22.5,22.25,22.375,14.810281753540039,60200,RE
71,1996-01-15,22.5,22.625,22.25,22.25,14.727548599243164,76800,RE
72,1996-01-16,22.375,22.625,22.125,22.25,14.727548599243164,81000,RE
73,1996-01-17,22.5,22.625,22.25,22.375,14.810281753540039,50800,RE
74,1996-01-18,22.125,22.375,22.0,22.0,14.562077522277832,972000,RE
75,1996-01-19,21.875,22.0,21.375,22.0,14.562077522277832,102800,RE
76,1996-01-22,21.75,21.75,20.375,20.75,13.7346830368042,449000,RE
77,1996-01-23,21.0,22.25,21.0,21.875,14.479336738586426,798600,RE
78,1996-01-24,21.875,22.625,21.875,22.5,14.893031120300293,269500,RE
79,1996-01-25,22.75,22.75,22.0,22.0,14.562077522277832,181200,RE
80,1996-01-26,22.0,22.0,21.875,21.875,14.479336738586426,136500,RE
81,1996-01-29,21.875,22.625,21.875,22.5,14.893031120300293,102200,RE
82,1996-01-30,22.5,22.625,22.125,22.375,14.810281753540039,315200,RE
83,1996-01-31,22.125,22.25,21.625,21.75,14.39659595489502,607200,RE
84,1996-02-01,21.875,22.0,21.75,22.0,14.562077522277832,363500,RE
85,1996-02-02,22.0,22.0,21.875,22.0,14.562077522277832,124700,RE
86,1996-02-05,22.0,22.0,21.25,21.25,14.06563949584961,206800,RE
87,1996-02-06,21.125,21.375,20.125,20.875,13.817423820495605,648100,RE
88,1996-02-07,20.75,21.125,20.5,20.75,13.7346830368042,454500,RE
89,1996-02-08,21.25,21.5,20.75,21.5,14.231118202209473,757100,RE
90,1996-02-09,21.5,22.0,21.375,21.875,14.479336738586426,531000,RE
91,1996-02-12,21.875,22.625,21.875,22.625,14.975769996643066,315400,RE
92,1996-02-13,22.625,22.625,22.375,22.5,14.893031120300293,123600,RE
93,1996-02-14,22.5,22.5,22.125,22.25,14.747213363647461,175900,RE
94,1996-02-15,22.25,22.625,22.25,22.5,14.912910461425781,143600,RE
95,1996-02-16,22.5,23.25,22.375,23.25,15.410011291503906,83500,RE
96,1996-02-20,23.0,23.0,22.75,22.75,15.078615188598633,819300,RE
97,1996-02-21,23.0,23.0,22.625,22.75,15.078615188598633,953000,RE
98,1996-02-22,22.875,23.125,22.875,23.125,15.327167510986328,600900,RE
99,1996-02-23,23.25,23.375,23.0,23.125,15.327167510986328,254900,RE
100,1996-02-26,23.0,23.0,22.75,23.0,15.244315147399902,177500,RE
101,1996-02-27,23.125,23.75,23.125,23.5,15.575715065002441,176400,RE
102,1996-02-28,23.5,24.75,23.5,24.5,16.23850440979004,599900,RE
103,1996-02-29,24.5,24.625,24.375,24.5,16.23850440979004,246500,RE
104,1996-03-01,24.625,24.625,23.75,23.875,15.824257850646973,214200,RE
105,1996-03-04,23.875,25.125,23.875,25.0,16.569902420043945,224200,RE
106,1996-03-05,25.125,25.125,24.75,24.875,16.487060546875,32900,RE
107,1996-03-06,24.75,25.125,24.5,25.0,16.569902420043945,413900,RE
108,1996-03-07,24.75,25.0,24.625,24.625,16.321353912353516,361200,RE
109,1996-03-08,24.625,24.625,23.375,23.5,15.575715065002441,219800,RE
110,1996-03-11,23.25,23.5,22.875,23.0,15.244315147399902,264200,RE
111,1996-03-12,22.75,22.875,22.25,22.5,14.912910461425781,310900,RE
112,1996-03-13,22.5,22.5,22.125,22.25,14.747213363647461,179200,RE
113,1996-03-14,22.25,22.875,22.25,22.5,14.912910461425781,619100,RE
114,1996-03-15,22.5,22.625,21.875,22.0,14.581513404846191,156900,RE
115,1996-03-18,22.125,22.375,21.875,22.25,14.747213363647461,137400,RE
116,1996-03-19,22.125,22.375,21.75,22.375,14.830062866210938,519300,RE
117,1996-03-20,22.375,22.875,22.375,22.625,14.99576187133789,301600,RE
118,1996-03-21,22.0,22.5,22.0,22.25,14.747213363647461,268700,RE
119,1996-03-22,22.75,23.875,22.75,23.875,15.824257850646973,212600,RE
120,1996-03-25,24.0,24.25,23.875,24.125,15.989958763122559,174400,RE
121,1996-03-26,24.125,24.25,23.875,24.0,15.907114028930664,297700,RE
122,1996-03-27,24.0,24.125,23.75,24.0,15.907114028930664,195900,RE
123,1996-03-28,24.0,24.0,23.5,23.625,15.658567428588867,135700,RE
124,1996-03-29,23.5,23.625,23.25,23.625,15.658567428588867,205600,RE
125,1996-04-01,23.5,24.25,23.5,24.25,16.07280158996582,473900,RE
126,1996-04-02,24.375,24.375,23.625,23.75,15.741411209106445,88900,RE
127,1996-04-03,23.875,24.0,23.625,23.75,15.741411209106445,92300,RE
128,1996-04-04,23.875,23.875,23.25,23.375,15.492862701416016,39100,RE
129,1996-04-08,23.0,23.0,22.625,23.0,15.244315147399902,326500,RE
130,1996-04-09,23.25,23.75,23.25,23.625,15.658567428588867,85000,RE
131,1996-04-10,23.625,23.875,22.875,23.125,15.327167510986328,192500,RE
132,1996-04-11,23.125,23.125,22.375,22.75,15.078615188598633,223500,RE
133,1996-04-12,23.0,23.125,22.75,23.0,15.244315147399902,188800,RE
134,1996-04-15,23.125,23.125,23.0,23.125,15.327167510986328,45600,RE
135,1996-04-16,23.0,23.0,22.625,22.75,15.078615188598633,72400,RE
136,1996-04-17,22.625,22.625,21.375,21.5,14.25012493133545,719200,RE
137,1996-04-18,21.5,22.625,21.5,22.5,14.912910461425781,556000,RE
138,1996-04-19,22.5,22.625,22.375,22.375,14.830062866210938,219500,RE
139,1996-04-22,22.25,22.375,22.125,22.375,14.830062866210938,219200,RE
140,1996-04-23,22.375,22.375,22.25,22.375,14.830062866210938,84500,RE
141,1996-04-24,22.375,22.625,22.375,22.5,14.912910461425781,172200,RE
142,1996-04-25,22.625,22.625,22.375,22.375,14.830062866210938,94300,RE
143,1996-04-26,22.375,22.5,22.375,22.375,14.830062866210938,173700,RE
144,1996-04-29,22.25,22.25,22.0,22.0,14.581513404846191,138800,RE
145,1996-04-30,23.25,23.25,22.625,22.75,15.078615188598633,695100,RE
146,1996-05-01,22.625,22.75,22.625,22.75,15.078615188598633,211500,RE
147,1996-05-02,22.625,22.625,22.0,22.125,14.664373397827148,205700,RE
148,1996-05-03,22.0,22.0,21.875,22.0,14.581513404846191,81400,RE
149,1996-05-06,22.25,22.25,21.875,22.0,14.581513404846191,80200,RE
150,1996-05-07,21.875,23.125,21.875,23.125,15.327167510986328,529200,RE
151,1996-05-08,23.0,23.125,22.625,23.125,15.327167510986328,261100,RE
152,1996-05-09,23.0,23.125,23.0,23.125,15.327167510986328,124600,RE
153,1996-05-10,22.875,23.375,22.625,23.125,15.327167510986328,301600,RE
154,1996-05-13,23.25,23.5,23.125,23.375,15.492862701416016,101800,RE
155,1996-05-14,23.5,23.875,23.375,23.875,15.824257850646973,91200,RE
156,1996-05-15,24.125,24.625,23.875,24.375,16.155649185180664,140300,RE
157,1996-05-16,24.25,24.25,23.5,23.75,15.741411209106445,65700,RE
158,1996-05-17,23.75,24.0,23.75,24.0,15.907114028930664,45000,RE
159,1996-05-20,24.0,24.0,23.75,23.75,15.741411209106445,160400,RE
160,1996-05-21,23.75,24.0,23.75,23.875,15.824257850646973,19900,RE
161,1996-05-22,24.0,24.0,23.875,23.875,15.824257850646973,18000,RE
162,1996-05-23,23.875,23.875,23.375,23.5,15.575715065002441,81500,RE
163,1996-05-24,23.375,24.125,23.375,24.0,15.907114028930664,154700,RE
164,1996-05-28,24.0,24.125,23.75,23.75,15.741411209106445,81900,RE
165,1996-05-29,23.75,23.75,23.25,23.25,15.410011291503906,234200,RE
166,1996-05-30,23.25,23.75,23.25,23.5,15.575715065002441,241900,RE
167,1996-05-31,23.625,23.625,23.375,23.375,15.492862701416016,106300,RE
168,1996-06-03,23.375,23.625,23.25,23.625,15.678689002990723,114400,RE
169,1996-06-04,23.625,23.75,23.5,23.625,15.678689002990723,97300,RE
170,1996-06-05,23.75,24.25,23.625,24.125,16.01050567626953,155400,RE
171,1996-06-06,24.125,24.75,24.125,24.75,16.4252872467041,201600,RE
172,1996-06-07,24.0,24.625,24.0,24.5,16.259368896484375,329000,RE
173,1996-06-10,24.5,24.625,24.5,24.5,16.259368896484375,212600,RE
174,1996-06-11,24.875,26.5,24.875,25.75,17.088939666748047,341900,RE
175,1996-06-12,25.875,26.125,25.75,25.75,17.088939666748047,108400,RE
176,1996-06-13,25.625,26.0,25.5,25.5,16.923017501831055,148900,RE
177,1996-06-14,25.5,25.875,25.5,25.625,17.005977630615234,52400,RE
178,1996-06-17,25.5,26.25,25.5,26.0,17.25484275817871,160600,RE
179,1996-06-18,26.0,26.125,25.625,25.875,17.171894073486328,175500,RE
180,1996-06-19,25.875,25.875,25.25,25.25,16.75710678100586,61400,RE
181,1996-06-20,25.25,25.25,24.6875,24.875,16.50824546813965,340200,RE
182,1996-06-21,25.0,25.125,24.25,24.75,16.4252872467041,97700,RE
183,1996-06-24,24.75,24.75,24.25,24.25,16.093461990356445,108200,RE
184,1996-06-25,24.25,24.875,24.25,24.625,16.342330932617188,222800,RE
185,1996-06-26,24.625,25.0,24.5,25.0,16.59119987487793,272900,RE
