,date,open,high,low,close,adjclose,volume,ticker
0,1992-06-01,1.8125,2.0625,1.8125,2.0625,1.5370967388153076,3012000,STE
1,1992-06-02,2.0625,2.125,2.0,2.09375,1.5603857040405273,1220800,STE
2,1992-06-03,2.125,2.4375,2.0625,2.4375,1.8165693283081055,1423200,STE
3,1992-06-04,2.5625,2.5625,2.375,2.4375,1.8165693283081055,883200,STE
4,1992-06-05,2.4375,2.4375,2.125,2.3125,1.7234108448028564,413600,STE
5,1992-06-08,2.3125,2.3125,2.1875,2.3125,1.7234108448028564,307200,STE
6,1992-06-09,2.3125,2.3125,1.9375,2.0,1.490517497062683,175200,STE
7,1992-06-10,2.0,2.1875,2.0,2.1875,1.630253791809082,70400,STE
8,1992-06-11,2.1875,2.1875,2.0625,2.1875,1.630253791809082,120800,STE
9,1992-06-12,2.25,2.3125,2.1875,2.3125,1.7234108448028564,151600,STE
10,1992-06-15,2.3125,2.375,2.25,2.375,1.7699894905090332,238800,STE
11,1992-06-16,2.375,2.375,2.21875,2.3125,1.7234108448028564,165200,STE
12,1992-06-17,2.125,2.25,1.9375,2.0,1.490517497062683,322800,STE
13,1992-06-18,2.0625,2.125,1.9375,1.96875,1.467228651046753,112000,STE
14,1992-06-19,2.0625,2.125,2.0625,2.125,1.5836752653121948,26800,STE
15,1992-06-22,2.125,2.125,1.9375,2.0,1.490517497062683,94800,STE
16,1992-06-23,2.125,2.125,2.0625,2.125,1.5836752653121948,63200,STE
17,1992-06-24,2.125,2.125,2.0,2.0,1.490517497062683,549600,STE
18,1992-06-25,2.1875,2.1875,2.0625,2.125,1.5836752653121948,110800,STE
19,1992-06-26,2.1875,2.1875,2.0625,2.1875,1.630253791809082,20000,STE
20,1992-06-29,2.1875,2.3125,2.125,2.3125,1.7234108448028564,59600,STE
21,1992-06-30,2.3125,2.3125,2.21875,2.3125,1.7234108448028564,26800,STE
22,1992-07-01,2.3125,2.4375,2.25,2.3125,1.7234108448028564,644800,STE
23,1992-07-02,2.4375,2.4375,1.96875,2.0625,1.5370967388153076,1184400,STE
24,1992-07-06,2.125,2.125,2.0,2.125,1.5836752653121948,66400,STE
25,1992-07-07,2.125,2.125,1.9375,1.9375,1.4439393281936646,70000,STE
26,1992-07-08,2.0,2.0,1.875,2.0,1.490517497062683,523200,STE
