,date,open,high,low,close,adjclose,volume,ticker
0,1999-11-10,65.0,70.3125,64.5,68.25,37.47410202026367,80793700,UPS
1,1999-11-11,68.75,76.9375,68.75,75.0,41.180335998535156,28309000,UPS
2,1999-11-12,76.0,76.625,69.25,70.5,38.70950698852539,14768100,UPS
3,1999-11-15,70.5,70.875,67.3125,69.0,37.88590621948242,8675100,UPS
4,1999-11-16,67.875,68.0,65.0,66.0,36.23869705200195,6978600,UPS
5,1999-11-17,65.5625,68.1875,65.125,67.6875,37.16525650024414,5806900,UPS
6,1999-11-18,67.9375,68.9375,66.125,66.3125,36.410274505615234,4718700,UPS
7,1999-11-19,66.3125,66.3125,64.25,65.0,35.689605712890625,5091100,UPS
8,1999-11-22,64.0625,64.25,61.0,63.125,34.66011428833008,4785400,UPS
9,1999-11-23,63.375,67.0,63.25,66.1875,36.341651916503906,2832200,UPS
10,1999-11-24,66.0,68.1875,65.9375,67.6875,37.33447265625,2179400,UPS
11,1999-11-26,68.4375,69.4375,68.1875,69.125,38.127357482910156,1322500,UPS
12,1999-11-29,70.0,70.25,67.0,68.125,37.575775146484375,1987000,UPS
13,1999-11-30,67.375,67.625,66.0625,66.0625,36.43816375732422,1686100,UPS
14,1999-12-01,66.25,67.375,65.625,65.875,36.33474349975586,1405700,UPS
15,1999-12-02,66.0,67.0625,65.875,67.0625,36.989742279052734,1391000,UPS
16,1999-12-03,67.4375,67.6875,66.3125,66.4375,36.64500045776367,1753500,UPS
17,1999-12-06,66.5,66.5,65.375,66.25,36.54157257080078,1398900,UPS
18,1999-12-07,65.9375,68.0,65.875,68.0,37.5068244934082,1793100,UPS
19,1999-12-08,68.0,68.375,66.75,68.375,37.71367645263672,1774000,UPS
20,1999-12-09,68.375,68.75,66.625,67.5,37.23104476928711,1713600,UPS
21,1999-12-10,66.375,67.0,65.375,66.125,36.472633361816406,1248600,UPS
22,1999-12-13,66.375,66.9375,64.875,66.0,36.40370178222656,1417800,UPS
23,1999-12-14,66.0,66.0,64.75,65.0,35.85211944580078,1886600,UPS
24,1999-12-15,65.0,65.0625,63.6875,63.75,35.16266632080078,1602800,UPS
25,1999-12-16,63.75,64.0625,63.25,64.0,35.3005485534668,1364600,UPS
26,1999-12-17,64.75,67.625,64.6875,66.625,36.74842834472656,1980800,UPS
27,1999-12-20,67.6875,68.5,66.9375,68.5,37.782615661621094,1501300,UPS
28,1999-12-21,68.25,69.0,67.5,69.0,38.05839538574219,1265200,UPS
29,1999-12-22,68.9375,68.9375,66.0625,67.0,36.95524978637695,1264700,UPS
30,1999-12-23,66.5,67.875,65.625,67.75,37.36893844604492,1180600,UPS
31,1999-12-27,68.5,69.6875,67.5,69.6875,38.43760299682617,1478800,UPS
32,1999-12-28,69.5,69.6875,68.0625,69.0,38.05839538574219,1051400,UPS
33,1999-12-29,69.0,69.375,67.5625,68.0,37.5068244934082,904700,UPS
34,1999-12-30,69.25,69.5,68.0,68.0,37.5068244934082,926700,UPS
35,1999-12-31,68.875,69.5,68.375,69.0,38.05839538574219,649300,UPS
36,2000-01-03,69.6875,69.75,67.0,67.0625,36.989742279052734,1273200,UPS
37,2000-01-04,67.0,67.0,64.625,64.9375,35.817630767822266,1385800,UPS
38,2000-01-05,64.875,68.0,64.75,68.0,37.5068244934082,1401700,UPS
39,2000-01-06,65.875,68.125,65.0,68.0,37.5068244934082,1959100,UPS
40,2000-01-07,67.625,67.625,65.75,66.375,36.61052322387695,996000,UPS
41,2000-01-10,66.875,67.4375,66.4375,67.0625,36.989742279052734,1191700,UPS
42,2000-01-11,67.125,67.4375,65.25,65.25,35.99001693725586,1020000,UPS
43,2000-01-12,66.125,67.5,65.4375,67.375,37.16210174560547,1097700,UPS
44,2000-01-13,67.625,68.5,67.375,68.3125,37.679195404052734,1071200,UPS
45,2000-01-14,68.875,69.25,68.3125,69.0625,38.0928840637207,1160000,UPS
46,2000-01-18,69.0,69.0,67.375,68.6875,37.88602828979492,980500,UPS
47,2000-01-19,68.5,68.5625,67.4375,68.25,37.64473342895508,1087300,UPS
48,2000-01-20,68.125,69.125,68.125,68.875,37.98945236206055,1972000,UPS
49,2000-01-21,68.875,68.875,66.6875,67.25,37.09314727783203,1270100,UPS
50,2000-01-24,67.875,68.25,66.0,66.0,36.40370178222656,831400,UPS
51,2000-01-25,65.625,66.625,64.75,65.875,36.33474349975586,1263000,UPS
52,2000-01-26,65.25,65.625,64.5,65.125,35.92106246948242,933400,UPS
53,2000-01-27,65.3125,65.375,64.0,65.125,35.92106246948242,1128400,UPS
54,2000-01-28,65.125,65.875,64.0,64.9375,35.817630767822266,1324700,UPS
55,2000-01-31,63.0,64.0,59.0,60.0,33.09428024291992,5745800,UPS
56,2000-02-01,59.6875,61.5,58.3125,61.375,33.8526611328125,4761000,UPS
57,2000-02-02,59.75,59.9375,57.1875,58.25,32.12900924682617,4740600,UPS
58,2000-02-03,59.25,59.5,57.375,57.625,31.78429412841797,1951900,UPS
59,2000-02-04,58.1875,58.1875,56.0625,56.375,31.094825744628906,1745200,UPS
60,2000-02-07,56.625,56.8125,55.5,55.75,30.75008773803711,1480200,UPS
61,2000-02-08,56.25,59.375,55.75,59.375,32.7495231628418,2055100,UPS
62,2000-02-09,59.5,59.625,58.0,58.0,31.991127014160156,1209400,UPS
