,date,open,high,low,close,adjclose,volume,ticker
0,1995-11-17,3.75,3.8125,3.75,3.78125,3.78125,12706000,WAT
1,1995-11-20,3.75,3.78125,3.75,3.75,3.75,1213200,WAT
2,1995-11-21,3.75,3.78125,3.75,3.75,3.75,909600,WAT
3,1995-11-22,3.75,3.78125,3.75,3.75,3.75,1314800,WAT
4,1995-11-24,3.75,3.78125,3.75,3.75,3.75,275200,WAT
5,1995-11-27,3.75,3.78125,3.75,3.75,3.75,1011600,WAT
6,1995-11-28,3.625,3.625,3.3125,3.53125,3.53125,3952000,WAT
7,1995-11-29,3.5,3.5625,3.34375,3.4375,3.4375,708400,WAT
8,1995-11-30,3.4375,3.75,3.40625,3.6875,3.6875,1346000,WAT
9,1995-12-01,3.6875,3.6875,3.53125,3.5625,3.5625,790800,WAT
10,1995-12-04,3.53125,3.75,3.5,3.71875,3.71875,548000,WAT
11,1995-12-05,3.75,3.78125,3.6875,3.75,3.75,892800,WAT
12,1995-12-06,3.78125,3.90625,3.78125,3.8125,3.8125,521200,WAT
13,1995-12-07,3.8125,3.8125,3.71875,3.71875,3.71875,217600,WAT
14,1995-12-08,3.6875,3.78125,3.59375,3.75,3.75,265200,WAT
15,1995-12-11,3.75,3.78125,3.71875,3.75,3.75,392400,WAT
16,1995-12-12,3.78125,3.84375,3.71875,3.78125,3.78125,1363200,WAT
17,1995-12-13,3.90625,4.09375,3.84375,4.03125,4.03125,1664000,WAT
18,1995-12-14,4.0625,4.21875,4.0625,4.1875,4.1875,1551600,WAT
19,1995-12-15,4.1875,4.3125,4.15625,4.25,4.25,902800,WAT
20,1995-12-18,4.25,4.28125,3.96875,4.15625,4.15625,646400,WAT
21,1995-12-19,4.125,4.125,4.0,4.125,4.125,324400,WAT
22,1995-12-20,4.125,4.25,4.125,4.15625,4.15625,274000,WAT
23,1995-12-21,4.28125,4.5,4.21875,4.375,4.375,660000,WAT
24,1995-12-22,4.40625,4.5,4.375,4.40625,4.40625,422800,WAT
25,1995-12-26,4.4375,4.5,4.40625,4.40625,4.40625,156800,WAT
26,1995-12-27,4.4375,4.53125,4.375,4.5,4.5,230400,WAT
27,1995-12-28,4.5,4.5,4.4375,4.46875,4.46875,213200,WAT
28,1995-12-29,4.5,4.5625,4.4375,4.5625,4.5625,179600,WAT
29,1996-01-02,4.5,4.53125,4.28125,4.34375,4.34375,456800,WAT
30,1996-01-03,4.28125,4.40625,4.1875,4.40625,4.40625,147600,WAT
31,1996-01-04,4.46875,4.6875,4.46875,4.5625,4.5625,385200,WAT
32,1996-01-05,4.5,4.8125,4.5,4.6875,4.6875,620800,WAT
33,1996-01-08,4.65625,4.8125,4.65625,4.78125,4.78125,67600,WAT
34,1996-01-09,4.75,4.75,4.71875,4.71875,4.71875,192400,WAT
35,1996-01-10,4.71875,4.75,4.59375,4.59375,4.59375,305600,WAT
36,1996-01-11,4.625,4.65625,4.5625,4.5625,4.5625,369600,WAT
37,1996-01-12,4.59375,4.59375,4.25,4.375,4.375,232000,WAT
38,1996-01-15,4.375,4.5625,4.375,4.5,4.5,158400,WAT
39,1996-01-16,4.5,4.5625,4.4375,4.4375,4.4375,52000,WAT
40,1996-01-17,4.375,4.4375,4.28125,4.375,4.375,117600,WAT
41,1996-01-18,4.375,4.4375,4.3125,4.4375,4.4375,56000,WAT
42,1996-01-19,4.46875,4.6875,4.46875,4.6875,4.6875,1279200,WAT
43,1996-01-22,4.75,4.96875,4.75,4.75,4.75,1138400,WAT
44,1996-01-23,4.75,4.84375,4.75,4.78125,4.78125,170400,WAT
45,1996-01-24,4.84375,5.03125,4.8125,5.03125,5.03125,371200,WAT
46,1996-01-25,5.0,5.28125,5.0,5.0625,5.0625,771200,WAT
47,1996-01-26,5.0625,5.0625,4.8125,4.9375,4.9375,776400,WAT
48,1996-01-29,4.96875,5.15625,4.875,5.15625,5.15625,970800,WAT
49,1996-01-30,5.15625,5.21875,5.0625,5.125,5.125,222400,WAT
50,1996-01-31,5.15625,5.25,4.96875,4.96875,4.96875,294000,WAT
51,1996-02-01,4.96875,4.96875,4.90625,4.96875,4.96875,273600,WAT
52,1996-02-02,4.96875,4.96875,4.6875,4.8125,4.8125,175600,WAT
53,1996-02-05,4.78125,4.875,4.75,4.875,4.875,80400,WAT
54,1996-02-06,4.875,4.875,4.6875,4.71875,4.71875,898400,WAT
55,1996-02-07,4.75,4.75,4.59375,4.6875,4.6875,900800,WAT
56,1996-02-08,4.625,4.71875,4.59375,4.625,4.625,136800,WAT
57,1996-02-09,4.6875,4.78125,4.6875,4.75,4.75,302800,WAT
58,1996-02-12,4.78125,4.875,4.75,4.875,4.875,122800,WAT
59,1996-02-13,4.84375,4.96875,4.75,4.90625,4.90625,122400,WAT
60,1996-02-14,4.9375,4.9375,4.875,4.90625,4.90625,41200,WAT
61,1996-02-15,4.90625,4.90625,4.6875,4.75,4.75,83600,WAT
62,1996-02-16,4.78125,4.8125,4.65625,4.8125,4.8125,138000,WAT
63,1996-02-20,4.78125,4.9375,4.75,4.90625,4.90625,168400,WAT
64,1996-02-21,4.9375,5.1875,4.9375,5.09375,5.09375,284800,WAT
65,1996-02-22,5.15625,5.25,5.09375,5.21875,5.21875,472800,WAT
66,1996-02-23,5.21875,5.25,5.09375,5.15625,5.15625,694400,WAT
67,1996-02-26,5.1875,5.375,5.15625,5.3125,5.3125,184400,WAT
68,1996-02-27,5.375,5.375,5.125,5.1875,5.1875,131200,WAT
69,1996-02-28,5.15625,5.25,5.09375,5.15625,5.15625,134400,WAT
70,1996-02-29,5.125,5.1875,5.0625,5.0625,5.0625,212400,WAT
71,1996-03-01,5.125,5.1875,5.0625,5.15625,5.15625,246000,WAT
72,1996-03-04,5.1875,5.25,5.0,5.0,5.0,212000,WAT
73,1996-03-05,5.0,5.1875,5.0,5.0625,5.0625,137200,WAT
74,1996-03-06,5.03125,5.125,5.03125,5.125,5.125,37200,WAT
75,1996-03-07,5.15625,5.40625,5.15625,5.25,5.25,190800,WAT
76,1996-03-08,5.1875,5.40625,5.09375,5.1875,5.1875,298400,WAT
77,1996-03-11,5.125,5.625,5.125,5.5625,5.5625,286800,WAT
78,1996-03-12,5.59375,6.0,5.5625,6.0,6.0,513600,WAT
79,1996-03-13,6.0,6.125,5.96875,6.0,6.0,1179200,WAT
80,1996-03-14,6.03125,6.125,5.96875,6.0,6.0,326800,WAT
81,1996-03-15,6.03125,6.03125,5.84375,5.9375,5.9375,370000,WAT
82,1996-03-18,5.9375,6.0,5.75,5.78125,5.78125,439600,WAT
83,1996-03-19,5.71875,5.71875,5.53125,5.625,5.625,304400,WAT
84,1996-03-20,5.6875,5.875,5.6875,5.875,5.875,61600,WAT
85,1996-03-21,5.84375,6.0625,5.84375,5.9375,5.9375,112000,WAT
86,1996-03-22,5.9375,5.96875,5.6875,5.6875,5.6875,345200,WAT
87,1996-03-25,5.8125,5.875,5.8125,5.84375,5.84375,74000,WAT
88,1996-03-26,5.875,5.96875,5.84375,5.875,5.875,103200,WAT
89,1996-03-27,5.84375,5.84375,5.71875,5.78125,5.78125,99600,WAT
90,1996-03-28,5.78125,5.78125,5.65625,5.71875,5.71875,123200,WAT
91,1996-03-29,6.0625,6.15625,6.03125,6.0625,6.0625,637600,WAT
92,1996-04-01,6.09375,6.625,6.09375,6.625,6.625,466400,WAT
93,1996-04-02,6.625,6.90625,6.625,6.8125,6.8125,357200,WAT
94,1996-04-03,6.84375,7.125,6.6875,6.71875,6.71875,259600,WAT
95,1996-04-04,6.8125,7.0,6.6875,7.0,7.0,270400,WAT
96,1996-04-08,7.0,7.0625,6.84375,7.0,7.0,249200,WAT
97,1996-04-09,7.0625,7.15625,7.0625,7.09375,7.09375,981200,WAT
98,1996-04-10,7.09375,7.3125,7.09375,7.21875,7.21875,658400,WAT
99,1996-04-11,7.21875,7.28125,7.0625,7.0625,7.0625,430000,WAT
100,1996-04-12,7.09375,7.34375,7.03125,7.34375,7.34375,144000,WAT
101,1996-04-15,7.34375,7.34375,7.28125,7.28125,7.28125,220000,WAT
102,1996-04-16,7.375,7.46875,7.34375,7.40625,7.40625,298400,WAT
103,1996-04-17,7.375,7.40625,7.34375,7.375,7.375,238800,WAT
104,1996-04-18,7.375,7.5,7.375,7.46875,7.46875,294400,WAT
105,1996-04-19,7.375,7.375,7.15625,7.15625,7.15625,292400,WAT
106,1996-04-22,7.0,7.0,6.5625,6.96875,6.96875,598400,WAT
107,1996-04-23,6.96875,6.96875,6.875,6.875,6.875,127600,WAT
108,1996-04-24,6.78125,6.90625,6.75,6.90625,6.90625,133600,WAT
109,1996-04-25,6.875,7.03125,6.84375,6.9375,6.9375,730400,WAT
110,1996-04-26,7.0,7.125,6.875,6.875,6.875,225200,WAT
111,1996-04-29,6.90625,7.03125,6.875,7.0,7.0,68800,WAT
112,1996-04-30,6.96875,7.09375,6.96875,6.96875,6.96875,154000,WAT
113,1996-05-01,7.03125,7.03125,6.875,6.875,6.875,79200,WAT
114,1996-05-02,6.84375,6.875,6.71875,6.75,6.75,132000,WAT
115,1996-05-03,6.8125,6.9375,6.8125,6.875,6.875,50000,WAT
116,1996-05-06,7.0,7.09375,7.0,7.0625,7.0625,81200,WAT
117,1996-05-07,7.03125,7.25,6.9375,7.25,7.25,104000,WAT
118,1996-05-08,7.25,7.25,7.0,7.0625,7.0625,192400,WAT
119,1996-05-09,7.0,7.09375,6.96875,6.96875,6.96875,88800,WAT
120,1996-05-10,7.0,7.03125,6.96875,7.0,7.0,38800,WAT
121,1996-05-13,7.0625,7.0625,6.9375,6.9375,6.9375,35600,WAT
122,1996-05-14,6.90625,6.90625,6.84375,6.84375,6.84375,65600,WAT
123,1996-05-15,6.8125,7.125,6.8125,7.125,7.125,162800,WAT
124,1996-05-16,7.125,7.125,7.0625,7.09375,7.09375,21200,WAT
125,1996-05-17,7.09375,7.09375,6.9375,6.96875,6.96875,49600,WAT
126,1996-05-20,6.96875,6.96875,6.875,6.875,6.875,71200,WAT
127,1996-05-21,6.90625,6.90625,6.75,6.8125,6.8125,836400,WAT
128,1996-05-22,6.84375,7.15625,6.8125,7.15625,7.15625,339200,WAT
129,1996-05-23,7.1875,7.59375,7.1875,7.4375,7.4375,232000,WAT
130,1996-05-24,7.5,7.5625,7.4375,7.4375,7.4375,437600,WAT
131,1996-05-28,7.375,7.5,7.3125,7.34375,7.34375,262400,WAT
132,1996-05-29,7.3125,7.3125,7.21875,7.21875,7.21875,143200,WAT
133,1996-05-30,7.21875,7.46875,7.21875,7.4375,7.4375,152000,WAT
134,1996-05-31,7.5,7.6875,7.5,7.53125,7.53125,440400,WAT
135,1996-06-03,7.4375,7.4375,7.21875,7.21875,7.21875,292400,WAT
136,1996-06-04,7.1875,7.1875,6.9375,6.96875,6.96875,182800,WAT
137,1996-06-05,6.96875,6.96875,6.75,6.8125,6.8125,173200,WAT
138,1996-06-06,6.65625,6.75,6.65625,6.6875,6.6875,19056000,WAT
139,1996-06-07,6.59375,6.65625,6.5625,6.625,6.625,3446400,WAT
140,1996-06-10,6.65625,6.875,6.625,6.84375,6.84375,1282000,WAT
141,1996-06-11,6.875,6.96875,6.8125,6.96875,6.96875,1675600,WAT
142,1996-06-12,6.9375,7.125,6.9375,7.09375,7.09375,1728800,WAT
143,1996-06-13,7.09375,7.09375,6.9375,6.9375,6.9375,745200,WAT
144,1996-06-14,6.9375,7.03125,6.9375,7.03125,7.03125,373200,WAT
145,1996-06-17,7.03125,7.03125,6.90625,7.03125,7.03125,579600,WAT
146,1996-06-18,7.0,7.0625,6.75,6.78125,6.78125,718000,WAT
147,1996-06-19,7.0,7.125,6.96875,7.125,7.125,1898800,WAT
